County Code,,,County,,,,,,Governor,,,,,,,Deputy Governor,,,,,,,Party/Independent Candidate,,,,
1,,,Mombasa,,,,,,Hassan Ali Joho,,,,,,,Hazel Ezabel Nyamoki Ogunde,,,,,,,Orange Democratic Movement,,,,
2,,,Kwale,,,,,,Mvurya Salim Mgalla,,,,,,,Fatuma Mohamed Achani,,,,,,,Orange Democratic Movement,,,,
3,,,Kilifi,,,,,,Amason Jeffa Kingi,,,,,,,Kenneth Mwakombo Kamto,,,,,,,Orange Democratic Movement,,,,
4,,,Tana River,,,,,,Tuneya Hussein Dado,,,,,,,Jire Siyat Mohamed,,,,,,,Wiper Democratic Movement- Kenya,,,,
5,,,Lamu,,,,,,Timamy Issa Abdalla,,,,,,,Erick Kinyua Mugo,,,,,,,United Democratic Forum Party,,,,
6,,,Taita Taveta,,,,,,Johnson Mtuta Mruttu,,,,,,,Mary Ndiga Kibuka,,,,,,,Orange Democratic Movement,,,,
7,,,Garissa,,,,,,Nathif Jama Adam,,,,,,,Abdullahi Hussein Ali,,,,,,,Wiper Democratic Movement- Kenya,,,,
8,,,Wajir,,,,,,Ahmed Abdullahi Mohamad,,,,,,,Abdulhafid Abdullahi Yarow,,,,,,,Orange Democratic Movement,,,,
9,,,Mandera,,,,,,Ali Ibrahim Roba,,,,,,,Omar Mohamed Maalim,,,,,,,United Republican Party,,,,
10,,,Marsabit,,,,,,Ukur Yatani Kanacho,,,,,,,Omar Abdi Ali,,,,,,,Orange Democratic Movement,,,,
11,,,Isiolo,,,,,,Godana Doyo Adhi,,,,,,,Mohamed Gulleid Abdille,,,,,,,United Republican Party,,,,
12,,,Meru,,,,,,Peter Gatirau Munya,,,,,,,Raphael Muriungi,,,,,,,Alliance Party of Kenya,,,,
13,,,Tharaka-Nithi,,,,,,Samwel Mbae Ragwa,,,,,,,Eliud Mate Muriithi,,,,,,,The National Alliance,,,,
14,,,Embu,,,,,,Martin Nyaga Wambora,,,,,,,Dorothy Nditi Muchungu,,,,,,,The National Alliance,,,,
15,,,Kitui,,,,,,Julius Makau Malombe,,,,,,,Malonza Peninah,,,,,,,Wiper Democratic Movement- Kenya,,,,
16,,,Machakos,,,,,,Alfred Mutua Nganga,,,,,,,Benard Muia Tom Kiala,,,,,,,Wiper Democratic Movement- Kenya,,,,
17,,,Makueni,,,,,,Kivutha Kibwana,,,,,,,Adelina Ndeto Mwau,,,,,,,Muungano Party,,,,
18,,,Nyandarua,,,,,,Daniel Waithaka Mwangi,,,,,,,Waithaka Mwangi Kirika,,,,,,,The National Alliance,,,,
19,,,Nyeri,,,,,,James Nderitu Gachagua,,,,,,,Wamathai Samwel Githaiga,,,,,,,Grand National Union,,,,
20,,,Kirinyaga,,,,,,Ndathi Joseph Kathuri,,,,,,,Julius Muthike Njiri,,,,,,,The National Alliance,,,,
21,,,Muranga,,,,,,Mwangi Wa Iria,,,,,,,Augustine J Gakure Monyo,,,,,,,The National Alliance,,,,
22,,,Kiambu,,,,,,William Kabogo Gitau,,,,,,,Gerald Gakuha Githinji,,,,,,,The National Alliance,,,,
23,,,Turkana,,,,,,Josphat Koli Nanok,,,,,,,Peter Ekai Lokoel,,,,,,,Orange Democratic Movement,,,,
24,,,West Pokot,,,,,,Simon Kachapin Kitalei,,,,,,,Titus Lotee,,,,,,,Kenya African National Union,,,,
25,,,Samburu,,,,,,Moses Kisaine Lenolkulal,,,,,,,Joseph Lemarkat,,,,,,,United Republican Party,,,,
26,,,Trans Nzoia,,,,,,Patrick E.S. Simiyu Khaemba,,,,,,,Stanley Kiptoo Kenei Tarus,,,,,,,"Forum For Restoration of Democracy-Kenya",,,,
27,,,Uasin Gishu,,,,,,Jackson Kiplagat Mandago,,,,,,,Daniel Kiplagat Kiprotich,,,,,,,United Republican Party,,,,
28,,,Elgeyo - Marakwet,,,,,,Alex Tanui Tolgos,,,,,,,Gabriel Lagat Kosgey,,,,,,,United Republican Party,,,,
29,,,Nandi,,,,,,Lagat Cleophas Kiprop,,,,,,,Dominic Kimutai Biwott,,,,,,,United Republican Party,,,,
30,,,Baringo,,,,,,Cheboi Chesire Benjamin,,,,,,,Mathew Kipyator Tuitoek,,,,,,,United Republican Party,,,,
31,,,Laikipia,,,,,,Joshua W. Irungu,,,,,,,Josphat Gitonga Kabugi,,,,,,,The National Alliance,,,,
32,,,Nakuru,,,,,,Kinuthia Mbugua,,,,,,,Joseph Kibore Rutto,,,,,,,The National Alliance,,,,
33,,,Narok,,,,,,Samuel Kuntai Tunai,,,,,,,Aruasa Evalyn Chepkirui,,,,,,,United Republican Party,,,,
34,,,Kajiado,,,,,,David K. Ole Nkedianye,,,,,,,Paul Mpute Ntiati,,,,,,,Orange Democratic Movement,,,,
35,,,Kericho,,,,,,Chepkwony Paul Kiprono,,,,,,,Susan Chepkoech Kikwai,,,,,,,United Republican Party,,,,
36,,,Bomet,,,,,,Isaac Kiprono Rutto,,,,,,,Stephen Kipkoech Mutai,,,,,,,United Republican Party,,,,
37,,,Kakamega,,,,,,Wycliffe Oparanyah Ambetsa,,,,,,,Philip Museve Kutima,,,,,,,Orange Democratic Movement,,,,
38,,,Vihiga,,,,,,Moses E. Akaranga,,,,,,,Caleb Temba Amaswache,,,,,,,Peoples Party of Kenya,,,,
39,,,Bungoma,,,,,,Kenneth Makelo Lusaka,,,,,,,Hillary Moywo Chongwony,,,,,,,New Ford Kenya,,,,
40,,,Busia,,,,,,Sospeters Odeke Ojaamongson,,,,,,,Kizito Osore Wangalwa,,,,,,,Orange Democratic Movement,,,,
41,,,Siaya,,,,,,Cornel Rasanga,,,,,,,Wilson Ouma Onyango,,,,,,,Orange Democratic Movement,,,,
42,,,Kisumu,,,,,,Jack Nyanungo Ranguma,,,,,,,Ruth Adhiambo Odinga Busia,,,,,,,Orange Democratic Movement,,,,
43,,,Homabay,,,,,,Cyprian Otieno Awiti,,,,,,,Hamiliton Onyango Orata,,,,,,,Orange Democratic Movement,,,,
44,,,Migori,,,,,,Zacharia Okoth Obado,,,,,,,Nelson Mahanga Mwita,,,,,,,Peoples Democratic Party,,,,
45,,,Kisii,,,,,,James Elvis Omariba Ongwae,,,,,,,Arthur Maangi Gongera,,,,,,,Orange Democratic Movement,,,,
46,,,Nyamira,,,,,,John Obiero Nyagarama,,,,,,,Amos Kimwomi Nyaribo,,,,,,,Orange Democratic Movement,,,,
47,,,Nairobi,,,,,,Evans Odhiambo Kidero,,,,,,,J. Mwangangi Mueke,,,,,,,Orange Democratic Movement,,,,
