County Code,,,,County Name,,,,,,Full Names A,,,,,,,Full Names B,,,Party/Independent Candidate
1,,,,Mombasa,,,,,,Hassan Omar,,,,,,,Hassan,,,Wiper Democratic Movement- Kenya
2,,,,Kwale,,,,,,Boy Juma,,,,,,,Boy,,,Orange Democratic Movement
3,,,,Kilifi,,,,,,Stewart Mwachiru Shadrack,,,,,,,Madzayo,,,Orange Democratic Movement
4,,,,Tana River,,,,,,Ali Abdi,,,,,,,Bule,,,Federal Party of Kenya
5,,,,Lamu,,,,,,Abu Mohamed Abu,,,,,,,Chiaba,,,The National Alliance
6,,,,Taita Taveta,,,,,,Danson Mwazo,,,,,,,Mwakulegwa,,,Orange Democratic Movement
7,,,,Garissa,,,,,,Mohamed Yusuf,,,,,,,Haji,,,The National Alliance
8,,,,Wajir,,,,,,Abdirahman Ali,,,,,,,Hassan,,,Orange Democratic Movement
9,,,,Mandera,,,,,,Adan Kerow,,,,,,,Billow,,,United Republican Party
10,,,,Marsabit,,,,,,Godana,,,,,,,Hargura,,,Orange Democratic Movement
11,,,,Isiolo,,,,,,Mohamed Abdi,,,,,,,Kuti,,,United Republican Party
12,,,,Meru,,,,,,Kiraitu,,,,,,,Murungi,,,Alliance Party of Kenya
13,,,,Tharaka - Nithi,,,,,,Kithure,,,,,,,Kindiki,,,The National Alliance
14,,,,Embu,,,,,,Lenny Maxwell,,,,,,,Kivuti,,,Alliance Party of Kenya
15,,,,Kitui,,,,,,David,,,,,,,Musila,,,Wiper Democratic Movement- Kenya
16,,,,Machakos,,,,,,Johnson Nduya,,,,,,,Muthama,,,Wiper Democratic Movement- Kenya
17,,,,Makueni,,,,,,Mutula,,,,,,,Kilonzo,,,Wiper Democratic Movement- Kenya
18,,,,Nyandarua,,,,,,Muriuki Karue,,,,,,,Muriuki,,,The National Alliance
19,,,,Nyeri,,,,,,Kagwe,,,,,,,Mutahi,,,National Rainbow Coalition
20,,,,Kirinyaga,,,,,,Dickson Daniel,,,,,,,Karaba,,,The National Alliance
21,,,,Muranga,,,,,,James Kembi,,,,,,,Gitura,,,The National Alliance
22,,,,Kiambu,,,,,,Paul Kimani,,,,,,,Njoroge,,,The National Alliance
23,,,,Turkana,,,,,,John Munyes,,,,,,,Kiyonga,,,Forum For Restoration of Democracy-Kenya
24,,,,West Pokot,,,,,,John Krop,,,,,,,Lonyangapuo,,,Kenya African National Union
25,,,,Samburu,,,,,,Sammy Prisa,,,,,,,Leshore,,,United Republican Party
26,,,,Trans Nzoia,,,,,,Henry Tiole,,,,,,,Ndiema,,,Forum For Restoration of Democracy-Kenya
27,,,,Uasin Gishu,,,,,,Isaac Kipkemboi,,,,,,,Melly,,,United Republican Party
28,,,,Elgeyo-Marakwet,,,,,,Onesimus Kipchumba,,,,,,,Murkomen,,,United Republican Party
29,,,,Nandi,,,,,,Stephen Kipyego,,,,,,,Sang,,,United Republican Party
30,,,,Baringo,,,,,,Gideon Kipsielei Towett,,,,,,,Moi,,,Kenya African National Union
31,,,,Laikipia,,,,,,Godfrey Gitahi,,,,,,,Kariuki,,,The National Alliance
32,,,,Nakuru,,,,,,James Kiarie,,,,,,,Mungai,,,The National Alliance
33,,,,Narok,,,,,,Stephen Kanyinke,,,,,,,Ntutu,,,United Republican Party
34,,,,Kajiado,,,,,,Peter Korinko,,,,,,,Mositet,,,The National Alliance
35,,,,Kericho,,,,,,Charles Cheruiyot,,,,,,,Keter,,,United Republican Party
36,,,,Bomet,,,,,,Wilfred Rottich,,,,,,,Lesan,,,United Republican Party
37,,,,Kakamega,,,,,,Boni,,,,,,,Khalwale,,,United Democratic Forum Party
38,,,,Vihiga,,,,,,George,,,,,,,Khaniri,,,United Democratic Forum Party
39,,,,Bungoma,,,,,,Moses Masika,,,,,,,Wetangula,,,Forum For Restoration Of Democracy-Kenya
40,,,,Busia,,,,,,Sitswila Amos,,,,,,,Wako,,,Orange Democratic Movement
41,,,,Siaya,,,,,,James Aggrey Bob,,,,,,,Orengo,,,Orange Democratic Movement
42,,,,Kisumu,,,,,,Peter Anyang',,,,,,,Nyong'o,,,Orange Democratic Movement
43,,,,Homa Bay,,,,,,Gerald Otieno,,,,,,,Kajwang,,,Orange Democratic Movement
44,,,,Migori,,,,,,Wilfred Gisuka,,,,,,,Machage,,,Orange Democratic Movement
45,,,,Kisii,,,,,,Christopher Mogere,,,,,,,Obure,,,Orange Democratic Movement
46,,,,Nyamira,,,,,,Kennedy Mong'are,,,,,,,Okong'o,,,Forum For Restoration of Democracy-Kenya
47,,,,Nairobi City,,,,,,Mike Sonko Mbuvi,,,,,,,Kioko,,,The National Alliance
