Same/Different,API Name,API Party,API Place,API Candidate Code,Mz Legal Name,Mz Other Names,Mz URL,Mz Parties Ever,Mz Aspirant Ever,Mz Politician Ever,Mz ID
Same,GIDEON KIPSIELEI TOWETT MOI,KENYA AFRICAN NATIONAL UNION,BARINGO (county),374A24AF-DB66-E211-A3B9-00505687000D,Gideon Kipsiele Towett Moi,Gideon Kipsiele Towett Moi,http://info.mzalendo.com/person/gideon-moi/,Kenya African National Union,Aspirant Senator at Baringo (County 2013-),,305
Same,JULIUS KIPYEGON KONES,KENYA NATIONAL CONGRESS,BOMET (county),8054B0DB-8569-E211-B91E-005056870012,Julius Kipyegon Kones,Julius Kipyegon Kones,http://info.mzalendo.com/person/julius-kones/,Orange Democratic Movement,,Member of Parliament at Konoin (Constituency 2007-2013),53
Same (Post vying for not listed),JOHN KIPSANG ARAP KOECH,KENYA AFRICAN NATIONAL UNION,BOMET (county),304A24AF-DB66-E211-A3B9-00505687000D,John Kipsang Koech,,http://info.mzalendo.com/person/john-koech/,Kenya African National Union,,,310
Same,ANTHONY KIPKOSGE KIMETO,UNITED DEMOCRATIC MOVEMENT,BOMET (county),474B6ADB-F36A-E211-A5C8-005056870012,Anthony Kimeto,Anthony Kimeto,http://info.mzalendo.com/person/anthony-kimeto/,Kenya African National Union,,,351
Same,KENNETH MAKELO LUSAKA,NEW FORD KENYA,BUNGOMA (county),4B68FDD7-576D-E211-A5C8-005056870012,Kenneth Lusaka,Kenneth Lusaka,http://info.mzalendo.com/person/kenneth-lusaka/,New Ford Kenya,Aspirant Governor at Bungoma (County 2013-),,417
Same,ALFRED KHANGATI,ORANGE DEMOCRATIC MOVEMENT,BUNGOMA (county),719CBEA9-486C-E211-A5C8-005056870012,Alfred Khang'ati,,http://info.mzalendo.com/person/alfred-khangati/,Orange Democratic Movement,Aspirant Governor at Bungoma (County 2013-),Member of Parliament at Kanduyi (Constituency 2007-2013),42
Same,MUSIKARI NAZI KOMBO,NEW FORD KENYA,BUNGOMA (county),D98B83CC-4F6D-E211-A5C8-005056870012,Musikari Nazi Kombo,Musikari Kombo,http://info.mzalendo.com/person/musikari-kombo/,"Forum For The Restoration Of Democracy - Kenya, New Ford Kenya, Party of National Unity","Aspirant Senator at Bungoma (County 2013-), Aspirant Senator at Bungoma (County 2013-)",Nominated Member of Parliament at None,218
Same (switched parties?),MOSES MASIKA WETANGULA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,BUNGOMA (county),3DE21315-0269-E211-9497-005056870012,Moses Masika Wetangula,Moses Masika Wetangula,http://info.mzalendo.com/person/moses-wetangula/,"Kenya African National Union, Party of National Unity","Aspirant Senator at Bungoma (County 2013-), Aspirant President at Kenya (Country)",Member of Parliament at Sirisia (Constituency 2007-2013),210
Same,MUKHISA KITUYI,UNITED DEMOCRATIC FORUM PARTY,BUNGOMA (county),809CBEA9-486C-E211-A5C8-005056870012,Mukhisa Kituyi,Mukhisa Kituyi,http://info.mzalendo.com/person/mukhisa-kituyi/,"National Rainbow Coalition, United Democratic Forum Party (UDF)",Aspirant Senator at Bungoma (County 2013-),,293
Same,JULIA  AUMA OJIAMBO,THE LABOUR PARTY OF KENYA,BUSIA (county),91C3F6FC-1F6A-E211-B91E-005056870012,Julia Auma Ojiambo,Julia Auma Ojiambo,http://info.mzalendo.com/person/julia-ojiambo/,,Aspirant Women representative at Busia (County 2013-),,362
Same,ONESIMUS KIPCHUMBA MURKOMEN,UNITED REPUBLICAN PARTY,ELGEYO/MARAKWET (county),BA5485EE-3569-E211-9497-005056870012,Onesimus Kipchumba Murkomen,Onesimus Kipchumba Murkomen,http://info.mzalendo.com/person/kipchumba-murkomen/,United Republican Party (URP),Aspirant Senator at Elgeyo-Marakwet (County 2013-),,440
Same,MARTIN NYAGA WAMBORA,THE NATIONAL ALLIANCE,EMBU (county),EC5CE7D1-9B67-E211-8158-00505687000D,Martin Nyaga Wambora,Martin Nyaga Wambora,http://info.mzalendo.com/person/martin-wambora/,"National Rainbow Coalition, The National Alliance (TNA)",Aspirant Governor at Embu (County 2013-),,285
Same,PETER NJERU NDWIGA,THE NATIONAL ALLIANCE,EMBU (county),F25CE7D1-9B67-E211-8158-00505687000D,Peter Njeru Ndwiga,Peter Njeru Ndwiga,http://info.mzalendo.com/person/Peter-ndwiga/,"Democratic Party, National Rainbow Coalition, The National Alliance (TNA)",Aspirant Senator at Embu (County 2013-),,278
Same,LENNY MAXWELL KIVUTI,ALLIANCE PARTY OF KENYA,EMBU (county),9B00B5AE-C466-E211-A3B9-00505687000D,Lenny Maxwell Kivuti,Lenny Maxwell Kivuti,http://info.mzalendo.com/person/lenny-kivuti/,"Alliance Party of Kenya (APK), Safina Party Of Kenya",Aspirant Senator at Embu (County 2013-),Member of Parliament at Siakago (Constituency 2007-2013),55
Same,ROSEMARY WANJA NTHIGA,RESTORE AND BUILD KENYA,EMBU (county),46D8FA30-D366-E211-A3B9-00505687000D,Rosemary Wanja Nthiga,Rosemary Wanja Nthiga,http://info.mzalendo.com/person/rosemary-wanja-nthiga/,,Aspirant Women representative at Embu (County 2013-),,413
Same,FARAH MAALIM,ORANGE DEMOCRATIC MOVEMENT,GARISSA (county),849CBEA9-486C-E211-A5C8-005056870012,Farah Maalim Mohamed,Farah Maalim Mohamed,http://info.mzalendo.com/person/farah-maalim/,Orange Democratic Movement,Aspirant Senator at Garissa (County 2013-),Member of Parliament at Lagdera (Constituency 2007-2013),16
Same,GERALD OTIENO KAJWANG,ORANGE DEMOCRATIC MOVEMENT,HOMA BAY (county),3E511AF3-7F6B-E211-A5C8-005056870012,Gerald Otieno Kajwang,Gerald Otieno Kajwang,http://info.mzalendo.com/person/otieno-kajwang/,"Forum For The Restoration Of Democracy - Kenya, National Rainbow Coalition, Orange Democratic Movement",,Member of Parliament at Mbita (Constituency 2007-2013),164
Same,SOITA PETER SHITANDA,NEW FORD KENYA,KAKAMEGA (county),9E95C437-B96C-E211-A5C8-005056870012,Peter Soita Shitanda,Peter Soita Shitanda,http://info.mzalendo.com/person/soita-shitanda/,"Forum For The Restoration Of Democracy - Kenya, National Rainbow Coalition, New Ford Kenya",Aspirant Governor at Kakamega (County 2013-),Member of Parliament at Malava (Constituency 2007-2013),207
Same,JAPHETH KIPKEMOI  ROB,,KERICHO (county),9ECEE547-886C-E211-A5C8-005056870012,Japheth Kipkemoi Rob,,http://info.mzalendo.com/person/japheth-kipkemoi-rob/,,Aspirant Senator at Kericho (County 2013-),,480
Same,CHARLES CHERUIYOT KETER,UNITED REPUBLICAN PARTY,KERICHO (county),0806377F-396C-E211-A5C8-005056870012,Charles Cheruiyot Keter,Charles Cheruiyot Keter,http://info.mzalendo.com/person/charles-keter/,"Orange Democratic Movement, United Republican Party (URP)",Aspirant Senator at Kericho (County 2013-),Member of Parliament at Belgut (Constituency 2007-2013),169
Same (Post vying for not listed),KIPKORIR MARISIN ARAP SANG,KENYA AFRICAN NATIONAL UNION,KERICHO (county),3A4A24AF-DB66-E211-A3B9-00505687000D,Kipkorir Marisin Sang,,http://info.mzalendo.com/person/kipkorir-sang/,Kenya African National Union,,,309
Same,ESTHER CHERONO KEINO,WIPER DEMOCRATIC MOVEMENT- KENYA,KERICHO (county),D81136E6-6B6B-E211-A5C8-005056870012,Esther Keino,Esther Keino,http://info.mzalendo.com/person/esther-keino/,Kenya African National Union,,,359
Same,WILLIAM KABOGO GITAU,THE NATIONAL ALLIANCE,KIAMBU (county),8F71DC5D-E26A-E211-A5C8-005056870012,William Kabogo Gitau,William Kabogo Gitau,http://info.mzalendo.com/person/william-kabogo/,"NARC - Kenya, The National Alliance (TNA)",Aspirant Governor at Kiambu (County 2013-),Member of Parliament at Juja (Constituency 2007-2013),162
Same,BEDAN NG'ANG'A MBUGUA,SAFINA,KIAMBU (county),ECFB947D-0767-E211-A3B9-00505687000D,Bedan Mbugua,Bedan Mbugua,http://info.mzalendo.com/person/bedan-mbugua/,,Aspirant Governor at Kiambu (County 2013-),,478
Same,JAMES KARANJA NYORO,NATIONAL RAINBOW COALITION,KIAMBU (county),6CECD0EB-906C-E211-A5C8-005056870012,James Nyoro,James Nyoro,http://info.mzalendo.com/person/james-nyoro/,National Rainbow Coalition,Aspirant Governor at Kiambu (County 2013-),,470
Same,STANLEY MUNGA GITHUNGURI,KENYA AFRICAN NATIONAL UNION,KIAMBU (county),334A24AF-DB66-E211-A3B9-00505687000D,Stanley Munga Githunguri,Stanley Munga Githunguri,http://info.mzalendo.com/person/stanley-githunguri/,Kenya African National Union,Aspirant Governor at Kiambu (County 2013-),Member of Parliament at Kiambaa (Constituency 2007-2013),21
Same,GEORGE BONIFACE NJAU MBUGUA NYANJA,NATIONAL RAINBOW COALITION,KIAMBU (county),5C81E250-E46C-E211-A5C8-005056870012,George Nyanja,George Nyanja,http://info.mzalendo.com/person/george-nyanja/,"Ford Asili, National Democratic Party, The National Alliance (TNA)",Aspirant Governor at Kiambu (County 2013-),,476
Same (post vying for missing),MORRIS MWACHONDO DZORO,,KILIFI (county),427AB9F7-9467-E211-8158-00505687000D,Morris Mwachondo Dzoro,Morris Mwachondo Dzoro,http://info.mzalendo.com/person/morris-dzoro/,,,,247
Same,SAMSON KEGENGO ONGERI,THE NATIONAL ALLIANCE,KISII (county),B18D53D8-9E67-E211-8158-00505687000D,Samson Kegeo Ongeri,Prof. Sam Ongeri,http://info.mzalendo.com/person/samson-ongeri/,"Kenya African National Union, Kenya African National Union, Kenya African National Union, The National Alliance (TNA)",Aspirant Senator at Kisii (County 2013-),Member of Parliament at Nyaribari Masaba (Constituency 2007-2013),124
Same (post vying for missing),GEORGE OMARI NYAMWEYA,UNITED DEMOCRATIC FORUM PARTY,KISII (county),0A4F659E-AB6B-E211-A5C8-005056870012,George Omari Nyamweya,George Omari Nyamweya,http://info.mzalendo.com/person/george-nyamweya/,Party of National Unity,,Nominated Member of Parliament at None,383
Same,CHRISTOPHER MOGERE OBURE,ORANGE DEMOCRATIC MOVEMENT,KISII (county),9AAE1C48-336C-E211-A5C8-005056870012,Christopher Mogere Obure,Christopher Mogere Obure,http://info.mzalendo.com/person/christopher-obure/,Orange Democratic Movement,Aspirant Senator at Kisii (County 2013-),Member of Parliament at Bobasi (Constituency 2007-2013),118
Same (post vying for missing),JAMES OMINGO MAGARA,PEOPLES DEMOCRATIC PARTY,KISII (county),F710B438-D866-E211-A3B9-00505687000D,James Omingo Magara,James Omingo Magara,http://info.mzalendo.com/person/omingo-magara/,Orange Democratic Movement,,,180
