Place Name,Place Type,Race Type,Old?,Alternative Names To Add,Existing Aspirant Person URL,Existing Aspirant Position ID,Existing Aspirant Person ID,Existing Aspirant External ID,Existing Aspirant Legal Name,Existing Aspirant Other Names,API Normalized Name,API Code,Action
,,,,,,,,,,,,,
BARINGO,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/aaron-rotich-tuikong/,5786,493,496F1A7E-C466-E211-A3B9-00505687000D,Aaron Rotich Tuikong,,AARON ROTICH TUIKONG,496F1A7E-C466-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/cheboi-chesire-benjamin/,5784,492,7C1C85E8-3569-E211-9497-005056870012,Cheboi Chesire Benjamin,,CHEBOI CHESIRE BENJAMIN,7C1C85E8-3569-E211-9497-005056870012,
,,,,,http://localhost:8000/person/joel-kibiwott-koima/,5790,495,86883FA3-EC6B-E211-A5C8-005056870012,Joel Kibiwott Koima,,JOEL KIBIWOTT KOIMA,86883FA3-EC6B-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/samson-kigen-kibii/,5782,491,3E463D04-206D-E211-A5C8-005056870012,Samson Kigen Kibii,,SAMSON KIGEN KIBII,3E463D04-206D-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/stanley-k-kiptis/,5788,494,2E4A24AF-DB66-E211-A3B9-00505687000D,Stanley K. Kiptis,,STANLEY K. KIPTIS,2E4A24AF-DB66-E211-A3B9-00505687000D,
,,,Old,,http://localhost:8000/person/benjamin-chesire/,5218,441,,Benjamin Chesire,,,,
,,,Old,"Benjamin Chesire, Cheboi Chesire Benjami",http://localhost:8000/person/benjamin-cheboi/,5303,421,,Benjamin Chesire Cheboi,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BOMET,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/david-shadrack-rotich/,5808,503,5A502CD9-F36C-E211-A5C8-005056870012,David Shadrack Rotich,,DAVID SHADRACK ROTICH,5A502CD9-F36C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/isaac-kiprono-ruto/,5806,502,871C85E8-3569-E211-9497-005056870012,Isaac Kiprono Ruto,,ISAAC KIPRONO RUTO,871C85E8-3569-E211-9497-005056870012,
,,,,,http://localhost:8000/person/julius-kones/,5804,53,8054B0DB-8569-E211-B91E-005056870012,Julius Kipyegon Kones,,JULIUS KIPYEGON KONES,8054B0DB-8569-E211-B91E-005056870012,
,,,,,http://localhost:8000/person/sammy-kipngetich-kirui/,5810,504,15F8C6CF-3F6D-E211-A5C8-005056870012,Sammy Kipngetich Kirui,,SAMMY KIPNGETICH KIRUI,15F8C6CF-3F6D-E211-A5C8-005056870012,
,,,,JOHN KIPSANG ARAP KOECH,http://localhost:8000/person/john-koech/,5812,310,304A24AF-DB66-E211-A3B9-00505687000D,John Kipsang Koech,,,,
,,,Old,[endpos],http://localhost:8000/person/francis-sigei/,5105,426,,Francis Sigei,,,,
,,,Old,Isaac Kiprono Ruto,http://localhost:8000/person/isaac-rutto/,3507,136,,Isaac Kiprono Rutto,,,,
,,,,,,,,,,,JOHN KIPSANG ARAP KOECH,304A24AF-DB66-E211-A3B9-00505687000D,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BOMET,County,Senator,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/andrew-kimutai-langat/,5824,509,0A6F13FE-E36B-E211-A5C8-005056870012,Andrew Kimutai Langat,,ANDREW KIMUTAI LANGAT,0A6F13FE-E36B-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/kitur-kipkemoi/,5814,505,8E54B0DB-8569-E211-B91E-005056870012,Kitur Kipkemoi,,KITUR KIPKEMOI,8E54B0DB-8569-E211-B91E-005056870012,
,,,,,http://localhost:8000/person/nicholas-kiptoo-arap-korir-salat/,5822,508,3B4A24AF-DB66-E211-A3B9-00505687000D,Nicholas Kiptoo Arap Korir Salat,,NICHOLAS KIPTOO ARAP KORIR SALAT,3B4A24AF-DB66-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/warkach-kipkorir-tonui/,5820,507,50BA90B6-856C-E211-A5C8-005056870012,Warkach Kipkorir Tonui,,WARKACH KIPKORIR TONUI,50BA90B6-856C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/wilfred-rottich-lesan/,5818,506,9CFA8127-3669-E211-9497-005056870012,Wilfred Rottich Lesan,,WILFRED ROTTICH LESAN,9CFA8127-3669-E211-9497-005056870012,
,,,,ANTHONY KIPKOSGE KIMETO,http://localhost:8000/person/anthony-kimeto/,5816,351,474B6ADB-F36A-E211-A5C8-005056870012,Anthony Kimeto,,,,
,,,Old,Nicholas Kiptoo Arap Korir Salat,http://localhost:8000/person/nick-salat/,5584,214,,Nick Kiptoo Korir Salat,Nick Salat,,,
,,,,,,,,,,,ANTHONY KIPKOSGE KIMETO,474B6ADB-F36A-E211-A5C8-005056870012,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BUNGOMA,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/cosmas-barasa-simiyu/,5832,513,D85A1935-9C67-E211-8158-00505687000D,Cosmas Barasa Simiyu,,COSMAS BARASA SIMIYU,D85A1935-9C67-E211-8158-00505687000D,
,,,,,http://localhost:8000/person/jack-beneiah-tumwa/,5835,514,37E21315-0269-E211-9497-005056870012,Jack Beneiah Tumwa,,JACK BENEIAH TUMWA,37E21315-0269-E211-9497-005056870012,
,,,,,http://localhost:8000/person/mukhamule-walinywa-wabwoba/,5837,515,56E00926-656C-E211-A5C8-005056870012,Mukhamule Walinywa Wabwoba,,MUKHAMULE WALINYWA WABWOBA,56E00926-656C-E211-A5C8-005056870012,
,,,,[delpos],http://localhost:8000/person/kenneth-lusaka/,5833,417,4B68FDD7-576D-E211-A5C8-005056870012,Kenneth Lusaka,,,,
,,,Old,KENNETH MAKELO LUSAKA,http://localhost:8000/person/kenneth-lusaka/,5083,417,,Kenneth Lusaka,,,,
,,,Old,ALFRED KHANGATI,http://localhost:8000/person/alfred-khangati/,5651,42,719CBEA9-486C-E211-A5C8-005056870012,Alfred Khang'ati,,,,
,,,,,,,,,,,ALFRED KHANGATI,719CBEA9-486C-E211-A5C8-005056870012,
,,,,,,,,,,,KENNETH MAKELO LUSAKA,4B68FDD7-576D-E211-A5C8-005056870012,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BUSIA,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/alice-betty-were/,5864,528,71C3F6FC-1F6A-E211-B91E-005056870012,Alice Betty Were,,ALICE BETTY WERE,71C3F6FC-1F6A-E211-B91E-005056870012,
,,,,,http://localhost:8000/person/benjamin-onyango-okwara/,5868,530,F0FB947D-0767-E211-A3B9-00505687000D,Benjamin Onyango Okwara,,BENJAMIN ONYANGO OKWARA,F0FB947D-0767-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/philemon-lameck-imo/,5866,529,38E21315-0269-E211-9497-005056870012,Philemon Lameck Imo,,PHILEMON LAMECK IMO,38E21315-0269-E211-9497-005056870012,
,,,,,http://localhost:8000/person/sospeters-odeke-ojaamongson/,5872,532,4CB7C3AA-A06C-E211-A5C8-005056870012,Sospeters Odeke Ojaamongson,,SOSPETERS ODEKE OJAAMONGSON,4CB7C3AA-A06C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/vincent-sidai-esyepet/,5870,531,AF5F9B26-A36C-E211-A5C8-005056870012,Vincent Sidai Esyepet,,VINCENT SIDAI ESYEPET,AF5F9B26-A36C-E211-A5C8-005056870012,
,,,Old,Sospeters Odeke Ojaamongson,http://localhost:8000/person/sospeter-ojaamongson/,5518,196,,Sospeter Odeke Ojaamongson,Sospeter Ojaamongson,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BUSIA,County,Senator,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/chrysanthus-okemo/,5876,534,3EE21315-0269-E211-9497-005056870012,Chrysanthus Okemo,,CHRYSANTHUS OKEMO,3EE21315-0269-E211-9497-005056870012,
,,,,,http://localhost:8000/person/faith-agnes-maumoh/,5874,533,BE632C93-6366-E211-A3B9-00505687000D,Faith Agnes Maumoh,,FAITH AGNES MAUMOH,BE632C93-6366-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/sitswila-amos-wako/,5878,535,7F9CBEA9-486C-E211-A5C8-005056870012,Sitswila Amos Wako,,SITSWILA AMOS WAKO,7F9CBEA9-486C-E211-A5C8-005056870012,
,,,Old,Sitswila Amos Wako,http://localhost:8000/person/amos-wako/,5128,366,,Amos Sitswila Wako,Amos Wako,,,
,,,Old,Chrysanthus Okemo,http://localhost:8000/person/Chrysanthus-okemo/,5516,198,,Chrysanthus Barnabas Okemo,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ELGEYO/MARAKWET,County,Senator,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/julius-kipkorir-b-bomer/,5899,545,8B54B0DB-8569-E211-B91E-005056870012,Julius Kipkorir B. Bomer,,JULIUS KIPKORIR B. BOMER,8B54B0DB-8569-E211-B91E-005056870012,
,,,,,http://localhost:8000/person/luka-kiprop-chemwolo/,5903,547,852EC4AF-486C-E211-A5C8-005056870012,Luka Kiprop Chemwolo,,LUKA KIPROP CHEMWOLO,852EC4AF-486C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/nicholas-kiprono-biwott-kipyator/,5905,548,5ACE1669-176D-E211-A5C8-005056870012,Nicholas Kiprono Biwott Kipyator,,NICHOLAS KIPRONO BIWOTT KIPYATOR,5ACE1669-176D-E211-A5C8-005056870012,
,,,Old,,http://localhost:8000/person/kipchumba-murkomen/,5213,440,BA5485EE-3569-E211-9497-005056870012,Onesimus Kipchumba Murkomen,Kipchumba Murkomen,ONESIMUS KIPCHUMBA MURKOMEN,BA5485EE-3569-E211-9497-005056870012,
,,,,,http://localhost:8000/person/tabitha-jeptoo-seii/,5901,546,ACC06418-196D-E211-A5C8-005056870012,Tabitha Jeptoo Seii,,TABITHA JEPTOO SEII,ACC06418-196D-E211-A5C8-005056870012,
,,,Old,Nicholas Kiprono Biwott Kipyator,http://localhost:8000/person/nicholas-biwott/,5214,321,,Nicholas Kiprono Kipyator Biwott,Nicholas Biwott,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
EMBU,County,Senator,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/alexander-kariavu-njue/,5928,560,1B41A748-8F67-E211-8158-00505687000D,Alexander Kariavu Njue,,ALEXANDER KARIAVU NJUE,1B41A748-8F67-E211-8158-00505687000D,
,,,,,http://localhost:8000/person/augustine-njeru-kathangu/,5923,558,BB54C6B2-DA66-E211-A3B9-00505687000D,Augustine Njeru Kathangu,,AUGUSTINE NJERU KATHANGU,BB54C6B2-DA66-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/charity-wanjiru-nyaga/,5926,559,09911F17-BC6B-E211-A5C8-005056870012,Charity Wanjiru Nyaga,,CHARITY WANJIRU NYAGA,09911F17-BC6B-E211-A5C8-005056870012,
,,,Old,,http://localhost:8000/person/lenny-kivuti/,5534,55,9B00B5AE-C466-E211-A3B9-00505687000D,Lenny Maxwell Kivuti,,LENNY MAXWELL KIVUTI,9B00B5AE-C466-E211-A3B9-00505687000D,
,,,,[delpos],http://localhost:8000/person/Peter-ndwiga/,5924,278,F25CE7D1-9B67-E211-8158-00505687000D,Peter Njeru Ndwiga,Njeru Ndwiga,PETER NJERU NDWIGA,F25CE7D1-9B67-E211-8158-00505687000D,
,,,Old,,http://localhost:8000/person/Peter-ndwiga/,5687,278,,Peter Njeru Ndwiga,Njeru Ndwiga,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
EMBU,County,Women Representative,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/beatrice-kanini-nyagah/,5939,565,A426C6C7-796C-E211-A5C8-005056870012,Beatrice Kanini Nyagah,,BEATRICE KANINI NYAGAH,A426C6C7-796C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/edith-roseline-nginya-njeru/,5929,561,C254C6B2-DA66-E211-A3B9-00505687000D,Edith Roseline Nginya Njeru,,EDITH ROSELINE NGINYA NJERU,C254C6B2-DA66-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/eusebia-warue-mwaniki/,5935,563,5201B5AE-C466-E211-A3B9-00505687000D,Eusebia Warue Mwaniki,,EUSEBIA WARUE MWANIKI,5201B5AE-C466-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/floric-kageni-kaune/,5949,570,102C5CA9-EF6B-E211-A5C8-005056870012,Floric Kageni Kaune,,FLORIC KAGENI KAUNE,102C5CA9-EF6B-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/hellenwaiyigo-njue/,5937,564,6E905498-EC6B-E211-A5C8-005056870012,Hellen Waiyigo Njue,,HELLEN WAIYIGO NJUE,6E905498-EC6B-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/jane-florence-rwamba-njiru/,5941,566,6442EA78-626C-E211-A5C8-005056870012,Jane Florence Rwamba Njiru,,JANE FLORENCE RWAMBA NJIRU,6442EA78-626C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/margaret-muthoni-mbogoh/,5945,568,A790DF45-4E6C-E211-A5C8-005056870012,Margaret Muthoni Mbogoh,,MARGARET MUTHONI MBOGOH,A790DF45-4E6C-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/mary-marigu/,5943,567,834EA171-BB66-E211-A3B9-00505687000D,Mary Marigu,,MARY MARIGU,834EA171-BB66-E211-A3B9-00505687000D,
,,,,,http://localhost:8000/person/mary-ndunge-mutua/,5947,569,A65528E4-F16B-E211-A5C8-005056870012,Mary Ndunge Mutua,,MARY NDUNGE MUTUA,A65528E4-F16B-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/rose-rwamba-mitaru/,5931,562,2338EDD7-9B67-E211-8158-00505687000D,Rose Rwamba Mitaru,,ROSE RWAMBA MITARU,2338EDD7-9B67-E211-8158-00505687000D,
,,,,[delpos],http://localhost:8000/person/rosemary-wanja-nthiga/,5933,413,46D8FA30-D366-E211-A3B9-00505687000D,Rosemary Wanja Nthiga,,ROSEMARY WANJA NTHIGA,46D8FA30-D366-E211-A3B9-00505687000D,
,,,Old,,http://localhost:8000/person/rosemary-wanja-nthiga/,5063,413,,Rosemary Wanja Nthiga,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
HOMA BAY,County,Governor,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,http://localhost:8000/person/cyprian-a-otieno-awiti/,5978,585,4BB6B34B-866B-E211-A5C8-005056870012,Cyprian A. Otieno Awiti,,CYPRIAN A. OTIENO AWITI,4BB6B34B-866B-E211-A5C8-005056870012,
,,,,,http://localhost:8000/person/owiti-benson-odhiambo/,5976,584,7EC6D3CC-346C-E211-A5C8-005056870012,Owiti Benson Odhiambo,,OWITI BENSON ODHIAMBO,7EC6D3CC-346C-E211-A5C8-005056870012,
