AGANO PARTY,Agano Party
CHAMA CHA MWANANCHI,Chama Cha Mwananchi
CHAMA CHA UZALENDO,Chama Cha Uzalendo
CONSERVATIVE PARTY,Conservative Party
FARMERS PARTY,Farmers Party
FEDERAL PARTY OF KENYA,Federal Party of Kenya
FORD-ASILI,Ford Asili
FORD-PEOPLE,Ford People
GRAND NATIONAL UNION,Grand National Union
INDEPENDENT,Independent
KENYA AFRICAN DEMOCRATIC UNION-ASILI,Kenya African Democratic Union - Asili
KENYA AFRICAN NATIONAL UNION,Kenya African National Union
KENYA NATIONAL CONGRESS,Kenya National Congress
KENYA NATIONAL DEMOCRATIC ALLIANCE,Kenya National Democratic Alliance
KENYA SOCIAL CONGRESS,Kenya Social Congress
MAZINGIRA GREENS PARTY OF KENYA,Mazingira  Greens Party of Kenya
MKENYA SOLIDARITY MOVEMENT,Mkenya Solidarity Movement
NARC-KENYA,NARC - Kenya
NATIONAL AGENDA PARTY OF KENYA,National Agenda Party of Kenya
NATIONAL DEMOCRATIC MOVEMENT,National Democratic Movement
NATIONAL LABOUR PARTY,National Labour Party
NATIONAL PARTY OF KENYA,National Party Of Kenya
NATIONAL RAINBOW COALITION,National Rainbow Coalition
NEW DEMOCRATS,New Democrats
NEW FORD KENYA,New Ford Kenya
ORANGE DEMOCRATIC MOVEMENT,Orange Democratic Movement
PARTY OF ACTION,Party of Action
PARTY OF DEMOCRATIC  UNITY,Party of Democratic Unity
PARTY OF NATIONAL UNITY,Party of National Unity
PEOPLES PARTY OF KENYA,Peoples Party of Kenya
PEOPLES PATRIOTIC PARTY OF KENYA,Peoples Patriotic Party of Kenya
PROGRESSIVE PARTY OF KENYA,Progressive Party of Kenya
REPUBLICAN LIBERTY PARTY,Republican Liberty Party
SHIRIKISHO PARTY OF KENYA,Shirikisho Party Of Kenya
SOCIAL DEMOCRATIC PARTY OF KENYA,Social Democratic Party of Kenya
THE INDEPENDENT PARTY,The Independent Party
UNITED DEMOCRATIC MOVEMENT,United Democratic Movement
UNITY PARTY OF KENYA,Unity Party of Kenya
WIPER DEMOCRATIC MOVEMENT- KENYA,Wiper democratic Movement Kenya
SABA SABA ASILI,SabaSaba Asili Party
MWANGAZA PARTY,Mwangaza Party (MP)
SISI KWA SISI PARTY,Sisi Kwa Sisi
MAENDELEO DEMOCRATIC PARTY,Maendeleo Democratic Party (MDP)
ALLIANCE PARTY OF KENYA,Alliance Party of Kenya (APK)
THE NATIONAL ALLIANCE,The National Alliance (TNA)
THE NATIONAL VISION PARTY,The National Vision Party (NVP)
RESTORE AND BUILD KENYA,RESTORE AND BUILD KENYA (RBK)
MUUNGANO PARTY,Muungano Development Movement Party (MDM)
REPUBLICAN CONGRESS PARTY OF KENYA,Republican Party of Kenya
PARTY OF INDEPENDENT CANDIDATES OF KENYA,Party of Independent Candidates of Kenya (PICK)
FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Forum For The Restoration Of Democracy - Kenya
PEOPLES DEMOCRATIC PARTY,People's Democratic Party (PDP)
UNITED REPUBLICAN PARTY,United Republican Party (URP)
UNITED DEMOCRATIC FORUM PARTY,United Democratic Forum Party (UDF)
DEMOCRATIC PARTY OF KENYA,Democratic Labour Party of Kenya
MZALENDO SABA SABA PARTY,
ALLIANCE FOR REAL CHANGE,
THE LABOUR PARTY OF KENYA,
,AGANO Part
,Alliance  for the Restoration of Democracy in Kenya
,Bright Dawn Party of Kenya
,Chama Cha Uma Party
,Commonwealth Development Party of Kenya
,Community Development Party of Kenya
,Daraja Ya Wakenya Political Party
,Democratic Community Party
,Democratic National Alliance
,Democratic Reformation Party of Kenya
,Development and Welfare Alliance Party of Kenya
,Forum For The Restoration Of Democracy
,Forum for Republican Party
,Freedom Party of Kenya
,Grass Roots Development  Party
,Growth and Development Party
,Kenya African Democratic Development Union
,Kenya Alliance for National Unity
,Kenya Cultural Alliance
,Kenya Nationalist Peoples Democratic Party
,Kenya Peoples Convention Party
,Kenya Political Caucus
,Kenya Socialist Party
,Kenya Youth Political Caucus
,Labour Party Of Kenya
,Liberal Democratic Movement
,Madaraka Party
,Me Katalili revolutionary movement (MEKAREMO)
,Movement for Democratic  Advancement Party of Kenya
,Nairobi People’s Convention Party
,National Agenda Party of Kenya (NAPK)
,National Alliance Party of Kenya (NAP)
,National Democratic Congress
,National Development Party (NDP)
,National Integrity Party
,National Patriotic Party of Kenya
,National Republican Party
,New Aspiration Party
,New Peoples Democratic Party
,New Sisi Kwa Sisi Kenya
,Orange Democratic Movement Party Of Kenya
,Pan Africa Assemblies
,Party  for Economic Change and Democracy
,Party of Hope
,Peoples Action Party of Kenya
,Peoples Democratic Union of Kenya
,Peoples choice Democratic Party of Kenya
,Rainbow Orange Alliance Party
,Republican Alliance Party
,Safina Party Of Kenya
,Social Democratic Party
,The Peoples Solidarity Union of Kenya
,Tsadiq Kenya Party
,Union of Democrats
,United Democrats of Peace and Integrity in Kenya
,United Patriotic Party of Kenya
,United Peoples Congress
,VIPA Progressive Alliance
,Wazalendo Party
,[None]
