ADAVI,Adavi
ADO,Ado
ADO EKITI,Ado-Ekiti
AGATU,Agatu
AGEGE,Agege
AKAMKPA,Akamkpa
AKKO,Akko
AKWANGA,Akwanga
ALKALERI,Alkaleri
APA,Apa
AWE,Awe
Aba North,Aba North
Aba South,Aba South
Abak,Abak
Abeokuta North,AbeokutaNorth
Abeokuta South,Abeokuta South
Abi,Abi
Afijio,Afijio
Aguata,Aguata
Agwara,Agwara
Ahoada East,Ahoada East
Ahoada West,Ahoada West
Ajaokuta,Ajaokuta
Ajingi,Ajingi
Akinyele,Akinyele
Akoko North East,Akoko North-East
Akoko North-West,AkokoNorthWest
Akoko South East,Akoko South-East
Akpabuyo,Akpabuyo
Akure North,Akure North
Akure South,Akure South
Albasu,Albasu
Alimosho,Alimosho
Amuwo Odofin,Amuwo Odofin
Anambra East,Anambra East
Anambra West,Anambra West
Aninri,Aninri
Anka,Anka
Ankpa,Ankpa
Apapa,Apapa
Ardo-Kola,Ardo-Kola
Arewa,Arewa
Argungu,Argungu
Asa,Asa
Atakumosa East,Atakumosa East
Atakumosa West,Atakumosa West
Atisbo,Atisbo
Augie,Augie
Ayamelum,Ayamelum
Ayedaade,Ayedaade
Ayedire,Ayedire
BABURA,Babura
BATSARI,Batsari
BAURE,Baure
BEKWARRA,Bekwarra
BIASE,Biase
BINJI,Binji
BOKKOS,Bokkos
BWARI,Bwari
Bade,Bade
Bagudo,Bagudo
Bagwai,Bagwai
Bakassi,Bakassi
Bakura,Bakura
Balanga,Balanga
Bali,Bali
Bama,Bama
Baruten,Baruten
Bassa,Bassa
Bauchi,Bauchi
Bayo,Bayo
Bebeji,Bebeji
Bende,Bende
Bichi,Bichi
Bindawa,Bindawa
Biu,Biu
Bodinga,Bodinga
Bogoro,Bogoro
Boki,Boki
Boluwaduro,Boluwaduro
Bomadi,Bomadi
Bonny,Bonny
Borgu,Borgu
Boripe,Boripe
Bosso,Bosso
Brass,Brass
Buji,Buji
Bukkuyum,Bukkuyum
Bungudu,Bungudu
Bunkure,Bunkure
Bunza,Bunza
Buruku,Buruku
Burutu,Burutu
CALABAR,Calabar
Calabar South,Calabar South
Chanchaga,Chanchaga
Chibok,Chibok
DAN-MUSA,Danmusa
DOMA,Doma
DUTSE,Dutse
Dala,Dala
Dandi,Dandi
Dandume,Dandume
Dange-Shuni,Dange-Shuni
Danja,Danja
Danko-Wasagu,Danko Wasagu
Darazo,Darazo
Dass,Dass
Daura,Daura
Degema,Degema
Dekina,Dekina
Demsa,Demsa
Dikwa,Dikwa
Doguwa,Doguwa
Donga,Donga
Dukku,Dukku
Dunukofia,Dunukofia
Dutsi,Dutsi
EFON,Efon
EKITI WEST,EkitiWest
EPE,Epe
Eastern Obolo,Eastern Obolo
Ebonyi,Ebonyi
Edati,Edati
Edu,Edu
Egbado North,EgbadoNorth
Egbado South,EgbadoSouth
Egbeda,Egbeda
Egor,Egor
Ekeremor,Ekeremor
Eket,Eket
Ekiti,Ekiti
Ekiti South West,EkitiSouth-West
Ekwusigo,Ekwusigo
Eleme,Eleme
Enugu East,Enugu East
Enugu North,Enugu North
Esan West,EsanWest
Ese Odo,Ese-Odo
Esit Eket,Esit Eket
Etche,Etche
Eti-Osa,Eti-Osa
Etim Ekpo,EtimEkpo
Etinan,Etinan
Etung,Etung
Ewekoro,Ewekoro
Ezeagu,Ezeagu
Ezza North,Ezza North
Ezza South,Ezza South
Fagge,Fagge
Fakai,Fakai
Faskari,Faskari
Fika,Fika
Funakaye,Funakaye
Fune,Fune
Funtua,Funtua
GARKI,Garki
GBOKO,Gboko
GUMA,Guma
GURI,Guri
GUSAU,Gusau
Gabasawa,Gabasawa
Gada,Gada
Gagarawa,Gagarawa
Gamawa,Gamawa
Ganye,Ganye
Garko,Garko
Gashaka,Gashaka
Gassol,Gassol
Gaya,Gaya
Geidam,Geidam
Gezawa,Gezawa
Giade,Giade
Giwa,Giwa
Gokana,Gokana
Gombe,Gombe
Gombi,Gombi
Goronyo,Goronyo
Gubio,Gubio
Gudu,Gudu
Gujba,Gujba
Gulani,Gulani
Gummi,Gummi
Gurara,Gurara
Guyuk,Guyuk
Gwale,Gwale
Gwandu,Gwandu
Gwaram,Gwaram
Gwarzo,Gwarzo
Gwer East,Gwer East
Gwer West,GwerWest
Gwoza,Gwoza
Hadejia,Hadejia
Hawul,Hawul
Hong,Hong
IBAJI,Ibaji
IDAH,Idah
IFELODUN,Ifelodun
IJERO,Ijero
IKEJA,Ikeja
IKERE,Ikere
IKwo,Ikwo
ILLELA,Illela
IREPODUN-IFELODUN,Irepodun/Ifelodun
ISE -ORUN,Ise/Orun
ISU,Isu
Ibadan North,IbadanNorth
Ibadan North East,IbadanNorth-East
Ibadan Northwest,IbadanNorth-West
Ibadan South East,IbadanSouth-East
Ibadan Southwest,IbadanSouth-West
Ibarapa  North,Ibarapa North
Ibarapa Central,Ibarapa Central
Ibarapa East,Ibarapa East
Ibeno,Ibeno
Ibi,Ibi
Idanre,Idanre
Ideato SOUTH,Ideato South
Idemili North,Idemili North
Ido,Ido
Ifako Ijaye,Ifako/Ijaye
