ABA NORTH,Aba North
ABA SOUTH,Aba South
ABADAM,Abadam
ABAJI AREA COUNCIL,Abaji
ABAK,Abak
ABAKALIKI,Abakalik
ABEOKUTA NORTH,AbeokutaNorth
ABEOKUTA SOUTH,Abeokuta South
ABI,Abi
ABOH MBAISE,Aboh-Mba
ABUA-ODUAL,Abua/Odu
ADAVI,Adavi
ADO EKITI,Ado-Ekiti
ADO,Ado
ADO-ODO/OTA,AdoOdo/Ota
AFIJIO,Afijio
AFIKPO NORTH,Afikpo
AFIKPO SOUTH,AfikpoSo
AGAIE,Agaie
AGATU,Agatu
AGEGE,Agege
AGUATA,Aguata
AGWARA,Agwara
AHIAZU MBAISE,Ahizu-Mb
AHOADA EAST,Ahoada East
AHOADA WEST,Ahoada West
AJAOKUTA,Ajaokuta
AJEROMI/IFELODUN,Ajeromi/Ifelodun
AJINGI,Ajingi
AKAMKPA,Akamkpa
AKAWANGA,Akwanga
AKINYELE,Akinyele
AKKO,Akko
AKOKO EDO,Akoko-Ed
AKOKO NORTH EAST,Akoko North-East
AKOKO NORTH WEST,AkokoNorthWest
AKOKO SOUTH EAST,Akoko South-East
AKOKO SOUTH WEST,Akoko South-West
AKPABUYO,Akpabuyo
AKUKU-TORU,Akukutor
AKURE NORTH,Akure North
AKURE SOUTH,Akure South
ALBASU,Albasu
ALEIRO,Aleiro
ALIMOSHO,Alimosho
ALKALERI,Alkaleri
AMUWO-ODOFIN,Amuwo Odofin
ANAMBRA EAST,Anambra East
ANAMBRA WEST,Anambra West
ANAOCHA,Anaocha
ANDONI,Andoni/O
ANINIRI,Aninri
ANIOCHA NORTH,AniochaN
ANIOCHA SOUTH,AniochaS
ANKA,Anka
ANKPA,Ankpa
APA,Apa
APAPA,Apapa
ARDO-KOLA,Ardo-Kola
AREWA,Arewa
ARGUNGU,Argungu
Arochukw,Arochukw
ASA,Asa
ASARI-TORU,Asari-To
ASKIRA/UBA,Askira/U
ATAKUNMOSA EAST,Atakumosa East
ATAKUNMOSA WEST,Atakumosa West
ATIBA,Atiba
ATIGBO,Atisbo
AUGIE,Augie
AUYO,Auyo
AWE,Awe
AWGU,Awgu
AWKA NORTH,AwkaNort
AWKA SOUTH,AwkaSout
AYADAADE,Ayedaade
AYAMELUM,Ayamelum
AYEDIRE,Ayedire
BABURA,Babura
BADAGRY,Badagary
BADE,Bade
BAGUDO,Bagudo
BAGWAI,Bagwai
BAKASSI,Bakassi
BAKORI,Bakori
BAKURA,Bakura
BALANGA,Balanga
BALI,Bali
BAMA,Bama
BARKIN LADI,Barkin Ladi
BARUTEN,Baruten
BASSA,Bassa
BATAGARAWA,Batagarawa
BATAGI,Bida
BATSARI,Batsari
BAUCHI,Bauchi
BAURE,Baure
BAYO,Bayo
BEBEJI,Bebeji
BEKWARRA,Bekwarra
BENDE,Bende
BIASE,Biase
BICHI,Bichi
BIDA,Bida
BILLIRI,Billiri
BINDAWA,Bindawa
BINJI,Binji
BIRNIN GWARI,Birnin-G
BIRNIN KEBBI,BirninKe
BIRNIN KUDU,BirninKu
BIRNIN MAGAJI,Birnin-Magaji/Kiyaw
BIRNIWA,Biriniwa
BIU,Biu
BODINGA,Bodinga
BOGORO,Bogoro
BOKI,Boki
BOKKOS,Bokkos
BOLOWADURO,Boluwaduro
BOMADI,Bomadi
BONNY,Bonny
BORGU,Borgu
BORIPE,Boripe
BOSSO,Bosso
BRASS,Brass
BUJI,Buji
BUKKUYUM,Bukkuyum
BUNGUDU,Bungudu
BUNKURE,Bunkure
BUNZA,Bunza
BURSARI,Borsari
BURUKU,Buruku
BURUTU,Burutu
BWARI AREA COUNCIL,Bwari
CALABAR MUNICIPAL,Calabar
CALABAR SOUTH,Calabar South
CHACHANGA,Chanchaga
CHARANCHI,Charanchi
CHIBOK,Chibok
CHIKUN,Chikun
DALA,Dala
DAMABOA,Damboa
DAMATURU,Damaturu
DAMBAN,Damban
DANBATTA,Dambatta
DANDI,Dandi
DANDUME,Dandume
DANGE SHUNI,Dange-Shuni
DANJA,Danja
DANMUSA,Danmusa
DARAZO,Darazo
DASS,Dass
DAURA,Daura
DAWAKIN,DawakinK
DEGEMA,Degema
DEKINA,Dekina
DEMSA,Demsa
DIKWA,Dikwa
DOGUWA,Doguwa
DOMA,Doma
DONGA,Donga
DUKKU,Dukku
DUNUKOFIA,Dunukofia
DUTSE,Dutse
DUTSI,Dutsi
DUTSIN-MA,Dutsin-M
EASTERN OBOLO,Eastern Obolo
EBONYI,Ebonyi
EDATI-IDATI,Edati
EDE NORTH,Ede North
EDE SOUTH,Ede South
EDU,Edu
EFON,Efon
EGBADO NORTH,EgbadoNorth
EGBADO SOUTH,EgbadoSouth
EGBEDA,Egbeda
EGBEDORE,Egbedore
EGOR,Egor
EHIME MBANO,Ehime-Mb
EJIGBO,Ejigbo
EKEREMOR,Ekeremor
EKET,Eket
EKITI EAST,EkitiEas
EKITI SOUTH WEST,EkitiSouth-West
EKITI WEST,EkitiWest
EKITI,Ekiti
EKWUSIGO,Ekwusigo
ELEME,Eleme
EMOHUA,Emuoha
EMURE,Emure/Ise/Orun
ENUGU EAST,Enugu East
ENUGU NORTH,Enugu North
ENUGU SOUTH,EnuguSou
EPE,Epe
ESAN CENTRAL,EsanCent
ESAN NORTH EAST,EsanNort
ESAN SOUTH EAST,EsanSout
ESAN WEST,EsanWest
ESE-ODO,Ese-Odo
ESIT EKET,Esit Eket
ESSIEN-U,Essien-U
ETCHE,Etche
ETHIOPE EAST,EthiopeE
ETHIOPE WEST,Ethiope West
ETI-OSA,Eti-Osa
ETIMEKPO,EtimEkpo
ETINAN,Etinan
ETSAKO CENTRAL,Etsako Central
ETSAKO EAST,EtsakoEa
ETSAKO WEST,EtsakoWe
ETUNG,Etung
EWEKORO,Ewekoro
EZEAGU,Ezeagu
EZINIHITTE,Ezinihit
EZZA NORTH,Ezza North
EZZA SOUTH,Ezza South
FAGGE,Fagge
FAKAI,Fakai
FASKARI,Faskari
FIKA,Fika
FUFORE,Fufore
FUNAKAYE,Funakaye
FUNE,Fune
FUNTUA,Funtua
GABASAWA,Gabasawa
GADA,Gada
GAGARA,Gagarawa
GAMAWA,Gamawa
GANJUWA,Gamjuwa
GANYE,Ganye
GARKI,Garki
GARKO,Garko
GARUM MALLAM,Garum Mallam
GASHAKA,Gashaka
GASSOL,Gassol
GAYA,Gaya
GBOKO,Gboko
GBONYIN,Gboyin
GEIDAM,Geidam
GEZAWA,Gezawa
GIADE,Giade
GIWA,Giwa
GOKANA,Gokana
GOMBE,Gombe
GORONYO,Goronyo
GUBIO,Gubio
GUDU,Gudu
GUJBA,Gujba
GULANI,Gulani
GUMA,Guma
GUME,Gumel
GUMMI,Gummi
GURARA,Gurara
GURI,Guri
GUSAU,Gusau
GUYUK,Guyuk
GUZAMALA,Guzamala
GWADABAWA,Gwadabaw
GWAGWA AREA COUNCIL,Gwagwala
GWALE,Gwale
GWANDU,Gwandu
GWARAM,Gwaram
GWARZO,Gwarzo
GWER-EAST,Gwer East
GWER-WEST,GwerWest
GWIWA,Gwiwa
GWOZA,Gwoza
HADEJIA,Hadejia
HAWUL,Hawul
HONG,Hong
IBADAN NORTH EAST,IbadanNorth-East
IBADAN NORTH WEST,IbadanNorth-West
IBADAN NORTH,IbadanNorth
IBADAN SOUTH EAST,IbadanSouth-East
IBADAN SOUTH WEST,IbadanSouth-West
IBAJI,Ibaji
IBARAPA CENTRAL,Ibarapa Central
IBARAPA EAST,Ibarapa East
IBARAPA NORTH,Ibarapa North
IBEJU-LEKKI,Ibeju/Lekki
IBENO,Ibeno
IBESIKPO ASUTAN,Ibesikpo Asutan
IBI,Ibi
IBIONO IBOM,Ibiono Ibom
IDAH,Idah
IDANRE,Idanre
IDEATO NORTH,IdeatoNo
IDEATO SOUTH,Ideato South
IDEMILI NORTH,Idemili North
IDEMILI SOUTH,Idemili South
IDO,Ido
IDO/OSI,Ido/Osi
IFAKO-IJAYE,Ifako/Ijaye
IFE CENTRAL,IfeCentral
IFE EAST,Ife East
IFE NORTH,Ife North
IFE SOUTH,Ife South
IFEDAYO,Ifedayo
IFEDORE,Ifedore
IFELODUN,Ifelodun
IFO,Ifo
IGABI,Igabi
IGALAMELA-ODOLU,Igalamela-Odolu
IGBO-ETITI,Igbo-Eti
IGBO-EZE NORTH,Igbo-eze North
IGO-EZE SOUTH,Igbo-eze South
IGUEBEN,Igueben
IHIALA,Ihiala
IHITE/UBOMA,Ihitte/U
IJEBU EAST,IjebuEast
IJEBU NORTH EAST,Ijebu North-East
IJEBU NORTH,IjebuNorth
IJEBU-ODE,IjebuOde
IJERO,Ijero
IJUMU,Ijumu
IKA NORTH-EAST,IkaNorth
IKA SOUTH,IkaSouth
IKA,Ika
IKARA,Ikara
IKEDURU,Ikeduru
IKEJA,Ikeja
IKENNE,Ikenne
IKERE,Ikere
IKOLE,Ikole
IKOM,Ikom
IKONO,Ikono
IKORODU,Ikorodu
IKOT-ABA,Ikot-Aba
IKOT-EKP,Ikot-Ekp
IKPOBA OKHA,Ikpoba-Okha
IKWERRE,Ikwerre
IKWO,Ikwo
IKWUANO,Ikwuano
ILA,Ila
ILAJE,IlajeEseodo
ILEJEMEJE,Ilejemeje
ILEOLUJI/OKEIGBO,IleOluji/Okeigbo
ILESA EAST,Ilesha East
ILESA WEST,Ilesha West
ILLELA,Illela
ILORIN EAST,Ilorin East
ILORIN SOUTH,Ilorin South
ILORIN WEST,IlorinWe
IMEKO AFON,Imeko-Afon
INGAWA,Ingawa
INI,Ini
IPOKIA,Ipokia
IRELE,Irele
IREPO,Irepo
IREPODUN,Irepodun
IREPODUN/IFELODUN,Irepodun/Ifelodun
IREWOLE,Irewole
ISA,Isa
ISE/ORUN,Ise/Orun
ISEYIN,Iseyin
ISHIELU,Ishielu
ISI-UZO,Isi-Uzo
ISIALA MBANO,IsialaMb
ISIALA NGWA NORTH,Isiala Ngwa North
ISIALA NGWA SOUTH,Isiala Ngwa South
ISIN,Isin
ISOKAN,Isokan
ISOKO NORTH,IsokoNor
ISOKO SOUTH,IsokoSou
ISU,Isu
Isuikwua,Isuikwua
ITAS-GADAU,Itas/Gad
ITESIWAJU,Itesiwaju
ITU,Itu
IVO,Ivo
IWAJOWA,Iwajowa
IWO,Iwo
IZZI,Izzi
JABA,Jaba
JADA,Jada
JAKUSKO,Jakusko
JALINGO,Jalingo
JAMA’ARE,Jama'are
JAUN,Jahun
JEGA,Jega
JEMA’A,Jema'a
JERE,Jere
JIBIA,Jibia
JOS EAST,Jos East
JOS NORTH,Jos North
JOS SOUTH,Jos South
K/HAUSA,KafinHau
K/KASAMMA,KiriKasa
K/NAMODA,Kaura-Na
KABBA,Kabba/Bu
KABO,Kabo
KACHIA,Kachia
KADUNA NORTH,Kaduna North
KADUNA SOUTH,Kaduna South
KAFUR,Kafur
KAGA,Kaga
KAGARKO,Kagarko
KAIAMA,Kaiama
KAITA,Kaita
KAJOLA,Kajola
KAJURU,Kajuru
KALA BALGE,Kala/Balge
KALGO,Kalgo
KALTUNGO,Kaltungo
KANAM,Kanam
KANKARA,Kankara
KANKE,Kanke
KANKIA,Kankiya
KANO MUNICIPAL,Kano
KARASUWA,Karasuwa
KARAYE,Karaye
KARIM-LAMIDO,Karim-La
KARU,Karu
KATAGUM,Katagum
KATCHA,Katcha
KATSINA,Katsina (K)
KATSINA-ALA,Katsina (Benue)
KAUGAMA,Kaugama
KAURA,Kaura
KAZAURE,Kazaure
KEANA,Keana
KEBBE,Kebbe
KEFFI,Keffi
KHANA,Khana
KIBIYA,Kibiya
KIRFI,Kirfi
KIRU,Kiru
KIYAWA,Kiyawa
KOGI,Kuje
KOKO BESSE,Koko/Bes
KOKONA,Kokona
KOLOKUMA/OPOKUMA,Kolokuma/Opokuma
KONDUGA,Konduga
KONSHISHA,Konshish
KONTOGORA,Kontogur
KOSOFE,Kosofe
KUBAU,Kubau
KUDAN,Kudan
KUJE AREA COUNCIL,Kuje
KUKAWA,Kukawa
KUMBOTSO,Kumbotso
KUNCHI,Kunchi
KURA,Kura
KURFI,Kurfi
KURMI,Kurmi
KUSADA,Kusada
KWALI AREA COUNCIL,Kwali
KWAMI,Kwami
KWANDE,Kwande
KWARE,Kware
KWAYA,Kwaya Kusar
LAFIA,Lafia
LAGELU,Lagelu
LAGOS ISLAND,LagosIsland
LAGOS MAINLAND,Mainland
LAMURDE,Lamurde
LANTANG NORTH,Langtang North
LANTANG SOUTH,Langtang South
LAPAI,Lapai
LAU,Lau
LAVUN,Lavun
LERE,Lere
LOGO,Logo
LOKOJA,Lokoja
M/MADORI,MalamMad
MACHINA,Machina
MADAGALI,Madagali
MADOBI,Madobi
MAFA,Mafa
MAGUMERI,Magumeri
MAIADUA,Mai'Adua
MAIGATAR,Maigatari
MAIHA,Maiha
MAIYAMA,Maiyama
MAKARFI,Makarfi
MAKODA,Makoda
