current_name,correct_name,lga_areas
BATAGARA/CHARANGI/RIMI,BATAGARA / CHARANGI / RIMI,"Batagarawa, Charanchi, Rimi"
Mushin II Federal Constituency,Mushin II Federal Constituency,Mushin II Federal Constituency
Kano Municipal,Kano Municipal,Kano Municipal
Bali/Gassol,Bali / Gassol,"Bali, Gassol"
Gombi/Hong,Gombi / Hong,"Gombi, Hong"
ADO/OGBADIBO/OKPOKWU,ADO / OGBADIBO / OKPOKWU,"Ado, Ogbadibo, Okpokwu"
Bade/Jakusko,Bade / Jakusko,"Bade, Jakusko"
Eti-Osa,Eti-Osa,Eti-Osa
Konshisha/Vandekiya,Konshisha / Vandekiya,"Konshish, Vandeiky"
Southern Ijaw,Southern Ijaw,Southern Ijaw
Hadejia/Kafin Hausa,Hadejia / Kafin Hausa,"Hadejia, Kafin Hausa"
Oluyole,Oluyole,Oluyole
Malunfashi/Kafur,Malunfashi / Kafur,"Malumfashi, Kafur"
Arewa/Dandi,Arewa / Dandi,"Arewa, Dandi"
Igabi,Igabi,Igabi
Jere,Jere,Jere
Soba,Soba,Soba
Tankarkar/Gagarawa,Tankarkar / Gagarawa,"Tankarkar, Gagarawa"
Lere,Lere,Lere
GUSAU/TSAFE,GUSAU / TSAFE,"Gusau, Tsafe"
Gashaka/Kurmi/Sardauna,Gashaka / Kurmi / Sardauna,"Gashaka, Kurmi, Sardauna"
Lavvn/Edati/Mokwa,Lavvn / Edati / Mokwa,"Lavun, Edati, Mokwa"
Akure South / North,Akure South / North,"Akure South, Akure North"
Ini /Ikono,Ini / Ikono,"Ini, Ikono"
SHENDAMMIKANG/QUAANPAN,SHENDAMMIKANG / QUAANPAN,"Shendam, Qua'anpa"
Ohaji / Egbema-Oguta-Oru West,Ohaji / Egbema-Oguta-Oru West,"Ohaji, Egbema-Oguta-Oru West"
JAMAARE/ITAS-GADAU,JAMAARE / ITAS-GADAU,"Jama'are, Itas/Gad"
"Kukawa, Gutamala Abadam, Mobbar","Kukawa, Gutamala Abadam, Mobbar","Kukawa, Gutamala Abadam, Mobbar"
Mani/Bindawa Constituency,Mani / Bindawa Constituency,"Mani, Bindawa"
Makarfi/Kudan,Makarfi / Kudan,"Makarfi, Kudan"
Tangaza/Gudu,Tangaza / Gudu,"Tangazar, Gudu"
Gwagwalada/Kuje,Gwagwalada / Kuje,"Gwagwalada, Kuje"
Ibi/Wukari,Ibi / Wukari,"Ibi, Wukari"
Karu / Kokona / Keffi,Karu / Kokona / Keffi,"Karu, Kokona, Keffi"
IDAH/IGALAMELA/IBAJI/OFU,IDAH / IGALAMELA / IBAJI / OFU,"Idah, Igalamela-Odolu, Ibaji, Ofu"
Fika/Fune,Fika / Fune,"Fika, Fune"
Kachiya/Kagarko,Kachiya / Kagarko,"Kachia, Kagarko"
Lau/K/Lamido/Ardo-Kola,Lau / K / Lamido / Ardo-Kola,"Lau, Gwiwa, Lamido, Ardo-Kola"
ORLU/ORSU/ORUE AST,ORLU / ORSU / ORUE AST,"Orlu, Orsu, Oru East"
Egor / Ikpoba-Okha,Egor / Ikpoba-Okha,"Egor, Ikpoba-Okha"
Apapa Federal Constituency,Apapa Federal Constituency,Apapa
GBOKO/TARKA,GBOKO / TARKA,"Gboko, Tarka"
Obubra/Etung,Obubra / Etung,"Obubra, Etung"
Boluwaduro / Ifedayo / Ila,Boluwaduro / Ifedayo / Ila,"Boluwaduro, Ifedayo, Ila"
Wurno / Rabah,Wurno / Rabah,"Wurno, Rabah"
Maiduguri,Maiduguri,Maidugur
Birnin Kebbi - Kalgo - Bunza,Birnin Kebbi - Kalgo - Bunza,"BirninKe, Kalgo, Bunza"
"Saki East,West/Atisbo","Saki East,West / Atisbo","Saki East, Saki West, Atisbo"
Ijebu Central,Ijebu Central,Ijebu Central
Port Harcourt One,Port Harcourt One,Port Harcourt One
Itu,Itu,Itu
Damatura/Gujba/Gulani/Tarmuwa,Damatura / Gujba / Gulani / Tarmuwa,"Damaturu, Gujba, Gulani, Tarmuwa"
Gombe Kwami Funakaye,Gombe Kwami Funakaye,"Gombe, Kwami, Funakaye"
Lafia  / Obi,Lafia / Obi,"Lafia, Obi"
Enugu_East / Isi-Uzo,Enugu_East / Isi-Uzo,"Enugu East, Isi-Uzo"
Obio-Akpor,Obio-Akpor,Obio/Akp
Toro,Toro,Toro
Anka/Talata Mafara,Anka / Talata Mafara,"Anka, Talata-Mafara"
Bichi,Bichi,Bichi
Isoko North/Isoko South,Isoko North / Isoko South,"IsokoNor, IsokoSou"
