County Code,,County,,,,,Const. Code,,,Constituency,,,,Full Names A,,,,,Full Names B,,,,,Party/Independent Candidate
1,,Mombasa,,,,,1,,,Changamwe,,,,Omar Mwinyi,,,,,Shimbwa,,,,,Orange Democratic Movement
1,,Mombasa,,,,,2,,,Jomvu,,,,Bady Twalib,,,,,Bady,,,,,Wiper Democratic Movement- Kenya
1,,Mombasa,,,,,3,,,Kisauni,,,,Rashid Juma,,,,,Bedzimba,,,,,Orange Democratic Movement
1,,Mombasa,,,,,4,,,Nyali,,,,Hezron Awiti,,,,,Bollo,,,,,Wiper Democratic Movement- Kenya
1,,Mombasa,,,,,5,,,Likoni,,,,Mwalimu Masudi,,,,,Mwahima,,,,,Orange Democratic Movement
1,,Mombasa,,,,,6,,,Mvita,,,,Abdullswamad Sheriff,,,,,Nassir,,,,,Orange Democratic Movement
2,,Kwale,,,,,7,,,Msambweni,,,,Suleiman Dori,,,,,Ramadhani,,,,,Orange Democratic Movement
2,,Kwale,,,,,8,,,Lungalunga,,,,Khatib Abdallah,,,,,Mwashetani,,,,,Forum for Restoration of Democracy-Kenya
2,,Kwale,,,,,9,,,Matuga,,,,Hassan Mohamed,,,,,Mwanyoha,,,,,Orange Democratic Movement
2,,Kwale,,,,,10,,,Kinango,,,,Samuel Gonzi,,,,,Rai,,,,,The National Alliance
3,,Kilifi,,,,,11,,,Kilifi North,,,,Maitha Gideon,,,,,Mungaro,,,,,Orange Democratic Movement
3,,Kilifi,,,,,12,,,Kilifi South,,,,Salim Idd,,,,,Mustafa,,,,,Orange Democratic Movement
3,,Kilifi,,,,,13,,,Kaloleni,,,,Mwinga Gunga,,,,,Chea,,,,,Kenya African Democratic Union-Asili
3,,Kilifi,,,,,14,,,Rabai,,,,William Kamoti,,,,,Mwamkale,,,,,Orange Democratic Movement
3,,Kilifi,,,,,15,,,Ganze,,,,Peter Safari,,,,,Shehe,,,,,Federal Party of Kenya
3,,Kilifi,,,,,16,,,Malindi,,,,Daniel Kazungu,,,,,Muzee,,,,,Orange Democratic Movement
3,,Kilifi,,,,,17,,,Magarini,,,,Harrison Garama,,,,,Kombe,,,,,United Republican Party
4,,Tana River,,,,,18,,,Garsen,,,,Ibrahim Ahmed,,,,,Sane,,,,,United Republican Party
4,,Tana River,,,,,19,,,Galole,,,,Hassan Abdi,,,,,Dukicha,,,,,United Democratic Forum Party
4,,Tana River,,,,,20,,,Bura,,,,Ali,,,,,Wario,,,,,The National Alliance
5,,Lamu,,,,,21,,,Lamu East,,,,Shariff Athman,,,,,Ali,,,,,United Democratic Forum Party
5,,Lamu,,,,,22,,,Lamu West,,,,Julius Ndegwa,,,,,Kariuki,,,,,Kenya National Congress
6,,Taita Taveta,,,,,23,,,Taveta,,,,Naomi Namsi,,,,,Shaban,,,,,The National Alliance
6,,Taita Taveta,,,,,24,,,Wundanyi,,,,Thomas Ludindi,,,,,Mwadeghu,,,,,Orange Democratic Movement
6,,Taita Taveta,,,,,25,,,Mwatate,,,,Andrew,,,,,Mwadime,,,,,Orange Democratic Movement
6,,Taita Taveta,,,,,26,,,Voi,,,,Jones Mwagogo,,,,,Mlolwa,,,,,Orange Democratic Movement
7,,Garissa,,,,,27,,,Garissa Township,,,,Aden Bare,,,,,Duale,,,,,United Republican Party
7,,Garissa,,,,,28,,,Balambala,,,,Abdikadir Omar,,,,,Aden,,,,,Orange Democratic Movement
7,,Garissa,,,,,29,,,Lagdera,,,,Mohamed Muktar,,,,,Shidiye,,,,,The National Alliance
7,,Garissa,,,,,30,,,Dadaab,,,,Mohamed Dahir,,,,,Duale,,,,,Orange Democratic Movement
7,,Garissa,,,,,31,,,Fafi,,,,Elias Bare,,,,,Shill,,,,,United Republican Party
7,,Garissa,,,,,32,,,Ijara,,,,Ahmed Ibrahim,,,,,Abass,,,,,Orange Democratic Movement
8,,Wajir,,,,,33,,,Wajir North,,,,Ibrahim Abdi,,,,,Saney,,,,,Orange Democratic Movement
8,,Wajir,,,,,34,,,Wajir East,,,,Abass Sheikh,,,,,Mohamed,,,,,United Republican Party
8,,Wajir,,,,,35,,,Tarbaj,,,,Mohamed Ibrahim,,,,,Elmi,,,,,Orange Democratic Movement
8,,Wajir,,,,,36,,,Wajir West,,,,Abdikadir Ore,,,,,Ahmed,,,,,Orange Democratic Movement
8,,Wajir,,,,,37,,,Eldas,,,,Adan Keynan,,,,,Wehliye,,,,,Orange Democratic Movement
8,,Wajir,,,,,38,,,Wajir South,,,,Diriye Abdullahi,,,,,Mohamed,,,,,Orange Democratic Movement
9,,Mandera,,,,,39,,,Mandera West,,,,Mohamed Maalim,,,,,Mahamud,,,,,United Republican Party
9,,Mandera,,,,,40,,,Banissa,,,,Mohamed Abdi Haji,,,,,Mohamed,,,,,United Republican Party
9,,Mandera,,,,,41,,,Mandera North,,,,Adan Mohamed,,,,,Nooru,,,,,United Republican Party
9,,Mandera,,,,,42,,,Mandera South,,,,Mohamed Adan,,,,,Huka,,,,,United Republican Party
9,,Mandera,,,,,43,,,Mandera East,,,,Abdulaziz Ali,,,,,Farah,,,,,United Republican Party
9,,Mandera,,,,,44,,,Lafey,,,,Shaaban Ali,,,,,Isaack,,,,,United Republican Party
10,,Marsabit,,,,,45,,,Moyale,,,,Roba Sharu,,,,,Duba,,,,,United Democratic Forum Party
10,,Marsabit,,,,,46,,,North Horr,,,,Francis Chachu,,,,,Ganya,,,,,Orange Democratic Movement
10,,Marsabit,,,,,47,,,Saku,,,,Ali Rasso,,,,,Dido,,,,,United Republican Party
10,,Marsabit,,,,,48,,,Laisamis,,,,Joseph,,,,,Lekuton,,,,,Orange Democratic Movement
11,,Isiolo,,,,,49,,,Isiolo North,,,,Joseph Samal,,,,,Lomwa,,,,,United Republican Party
11,,Isiolo,,,,,50,,,Isiolo South,,,,Abdullahi Jaldesa,,,,,Banticha,,,,,United Republican Party
12,,Meru,,,,,51,,,Igembe South,,,,Franklin Mithika,,,,,Linturi,,,,,The National Alliance
12,,Meru,,,,,52,,,Igembe Central,,,,Cyprian Kubai,,,,,Iringo,,,,,Orange Democratic Movement
12,,Meru,,,,,53,,,Igembe North,,,,Joseph M'eruaki,,,,,M'uthari,,,,,The National Alliance
12,,Meru,,,,,54,,,Tigania West,,,,David,,,,,Karithi,,,,,The National Alliance
12,,Meru,,,,,55,,,Tigania East,,,,Lawrence Mpuru,,,,,Aburi,,,,,Orange Democratic Movement
12,,Meru,,,,,56,,,North Imenti,,,,Abdul Rahim,,,,,Dawood,,,,,Alliance Party of Kenya
12,,Meru,,,,,57,,,Buuri,,,,Boniface Gatobu,,,,,Kinoti,,,,,Independent Candidate
12,,Meru,,,,,58,,,Central Imenti,,,,Gideon Mwiti,,,,,Irea,,,,,Alliance Party of Kenya
12,,Meru,,,,,59,,,South Imenti,,,,Kathuri,,,,,Murungi,,,,,The National Alliance
13,,Tharaka - Nithi,,,,,60,,,Maara,,,,Japhet Miriti Kareke,,,,,Mbiuki,,,,,The National Alliance
13,,Tharaka - Nithi,,,,,61,,,Chuka/Igambang'ombe,,,,Onesmus Muthomi,,,,,Njuki,,,,,Alliance Party of Kenya
13,,Tharaka - Nithi,,,,,62,,,Tharaka,,,,Alex Muthengi Mburi,,,,,Mwiru,,,,,United Republican Party
14,,Embu,,,,,63,,,Manyatta,,,,John Muchiri,,,,,Nyaga,,,,,The National Alliance
14,,Embu,,,,,64,,,Runyenjes,,,,Cecily Mutitu,,,,,Mbarire,,,,,The National Alliance
14,,Embu,,,,,65,,,Mbeere South,,,,Mutava,,,,,Musyimi,,,,,The National Alliance
14,,Embu,,,,,66,,,Mbeere North,,,,Charles Muriuki,,,,,Njagagua,,,,,Alliance Party of Kenya
15,,Kitui,,,,,67,,,Mwingi North,,,,Munuve,,,,,G. J. Mati,,,,,Wiper Democratic Movement- Kenya
15,,Kitui,,,,,68,,,Mwingi West,,,,Bernard Munywoki,,,,,Kitungi,,,,,Wiper Democratic Movement- Kenya
15,,Kitui,,,,,69,,,Mwingi Central,,,,Joe Musyimi,,,,,Mutambu,,,,,Wiper Democratic Movement- Kenya
15,,Kitui,,,,,70,,,Kitui West,,,,Francis Mwanzia,,,,,Nyenze,,,,,Wiper Democratic Movement- Kenya
15,,Kitui,,,,,71,,,Kitui Rural,,,,Charles Mutisya,,,,,Nyamai,,,,,Wiper Democratic Movement- Kenya
15,,Kitui,,,,,72,,,Kitui Central,,,,Benson Makali,,,,,Mulu,,,,,Wiper Democratic Movement- Kenya
15,,Kitui,,,,,73,,,Kitui East,,,,Marcus Mutua,,,,,Muluvi,,,,,Wiper Democratic Movement- Kenya
15,,Kitui,,,,,74,,,Kitui South,,,,Rachael Kaki,,,,,Nyamai,,,,,National Rainbow Coalition
16,,Machakos,,,,,75,,,Masinga,,,,Benson Itwiku,,,,,Mbai,,,,,Ford-People
16,,Machakos,,,,,76,,,Yatta,,,,Francis Mwangangi,,,,,Kilonzo,,,,,Muungano Party
16,,Machakos,,,,,77,,,Kangundo,,,,Maweu Kyengo,,,,,Katatha,,,,,The Independent Party
16,,Machakos,,,,,78,,,Matungulu,,,,Stephen Mutinda,,,,,Mule,,,,,Wiper Democratic Movement- Kenya
16,,Machakos,,,,,79,,,Kathiani,,,,Robert,,,,,Mbui,,,,,Wiper Democratic Movement- Kenya
16,,Machakos,,,,,80,,,Mavoko,,,,Patrick Makau,,,,,King'ola,,,,,Wiper Democratic Movement- Kenya
16,,Machakos,,,,,81,,,Machakos Town,,,,Victor Kioko,,,,,Munyaka,,,,,Chama Cha Uzalendo
16,,Machakos,,,,,82,,,Mwala,,,,Vincent Musyoka,,,,,Musau,,,,,Chama Cha Uzalendo
17,,Makueni,,,,,83,,,Mbooni,,,,Michael Manthi,,,,,Kisoi,,,,,Wiper Democratic Movement- Kenya
17,,Makueni,,,,,84,,,Kilome,,,,Regina Nthambi,,,,,Muia,,,,,Wiper Democratic Movement- Kenya
17,,Makueni,,,,,85,,,Kaiti,,,,Richard Katemi,,,,,Makenga,,,,,Wiper Democratic Movement- Kenya
17,,Makueni,,,,,86,,,Makueni,,,,Daniel Kitonga,,,,,Maanzo,,,,,Wiper Democratic Movement- Kenya
17,,Makueni,,,,,87,,,Kibwezi West,,,,Patrick Mweu,,,,,Musimba,,,,,Independent Candidate
17,,Makueni,,,,,88,,,Kibwezi East,,,,Jessica Nduku Kiko,,,,,Mbalu,,,,,Wiper Democratic Movement- Kenya
18,,Nyandarua,,,,,89,,,Kinangop,,,,Stephen Kinyanjui Mburu,,,,,Kk,,,,,The National Alliance
18,,Nyandarua,,,,,90,,,Kipipiri,,,,Samuel Kamunye,,,,,Gichigi,,,,,Alliance Party of Kenya
18,,Nyandarua,,,,,91,,,Ol Kalou,,,,David Njunguna,,,,,Kiaraho,,,,,The National Alliance
18,,Nyandarua,,,,,92,,,Ol Jorok,,,,John Muriithi,,,,,Waiganjo,,,,,The National Alliance
18,,Nyandarua,,,,,93,,,Ndaragwa,,,,Francis Waweru,,,,,Nderitu,,,,,The National Alliance
19,,Nyeri,,,,,94,,,Tetu,,,,James Ndungu,,,,,Gethenji,,,,,The National Alliance
19,,Nyeri,,,,,95,,,Kieni,,,,James Mathenge,,,,,Kanini Kega,,,,,The National Alliance
19,,Nyeri,,,,,96,,,Mathira,,,,Peter Weru,,,,,Kinyua,,,,,National Rainbow Coalition
19,,Nyeri,,,,,97,,,Othaya,,,,Mary Wambui,,,,,Munene,,,,,The National Alliance
19,,Nyeri,,,,,98,,,Mukurweini,,,,Kabando Wa,,,,,Kabando,,,,,The National Alliance
19,,Nyeri,,,,,99,,,Nyeri Town,,,,Esther Murugi,,,,,Mathenge,,,,,The National Alliance
20,,Kirinyaga,,,,,100,,,Mwea,,,,Peter Njuguna,,,,,Gitau,,,,,The National Alliance
20,,Kirinyaga,,,,,101,,,Gichugu,,,,Ejidius Njogu,,,,,Barua,,,,,The National Alliance
20,,Kirinyaga,,,,,102,,,Ndia,,,,Stephen Muriuki,,,,,Ngare,,,,,The National Alliance
20,,Kirinyaga,,,,,103,,,Kirinyaga Central,,,,Joseph Gachoki,,,,,Gitari,,,,,The National Alliance
21,,Muranga,,,,,104,,,Kangema,,,,Tiras Nyingi,,,,,Ngahu,,,,,The National Alliance
21,,Muranga,,,,,105,,,Mathioya,,,,Clement Muchiri,,,,,Wambugu,,,,,The National Alliance
21,,Muranga,,,,,106,,,Kiharu,,,,Irungu,,,,,Kang'ata,,,,,The National Alliance
21,,Muranga,,,,,107,,,Kigumo,,,,Jamleck Irungu,,,,,Kamau,,,,,The National Alliance
21,,Muranga,,,,,108,,,Maragwa,,,,Peter Kamande,,,,,Mwangi,,,,,The National Alliance
21,,Muranga,,,,,109,,,Kandara,,,,Alice Muthoni,,,,,Wahome,,,,,The National Alliance
21,,Muranga,,,,,110,,,Gatanga,,,,Humphrey Kimani,,,,,Njuguna,,,,,National Rainbow Coalition
22,,Kiambu,,,,,111,,,Gatundu South,,,,Joseph Ngugi,,,,,Nyumu,,,,,The National Alliance
