No,,County,,,,,,,,,,Venue,,,,,,,,,,,Date,,,Time,
1,,Mombasa,,,,,,,,,,Municipal Council of Mombasa,,,,,,,,,,,22.03.2013,,,10.00 a.m,
2,,Kwale,,,,,,,,,,County Council of Kwale Hall,,,,,,,,,,,22.03.2013,,,10.00 a.m,
3,,Kilifi,,,,,,,,,,County Council of Kilifi,,,,,,,,,,,22.03.2013,,,10.00 a.m,
4,,Tana River,,,,,,,,,,County Council Offices At Hola,,,,,,,,,,,22.03.2013,,,10.00 a.m,
5,,Lamu,,,,,,,,,,County Council of Lamu Hall,,,,,,,,,,,22.03.2013,,,10.00 a.m,
6,,Taita/Taveta,,,,,,,,,,County Council Offices At Wundanyi,,,,,,,,,,,22.03.2013,,,10.00 a.m,
7,,Garissa,,,,,,,,,,County Council Offices At Garissa,,,,,,,,,,,22.03.2013,,,10.00 a.m,
8,,Wajir,,,,,,,,,,Wajir County Council Social Hall,,,,,,,,,,,22.03.2013,,,10.00 a.m,
9,,Mandera,,,,,,,,,,County Council of Mandera,,,,,,,,,,,22.03.2013,,,10.00 a.m,
10,,Marsabit,,,,,,,,,,County Council of Marsabit,,,,,,,,,,,22.03.2013,,,10.00 a.m,
11,,Isiolo,,,,,,,,,,New Isiolo County Council Office,,,,,,,,,,,22.03.2013,,,10.00 a.m,
12,,Meru,,,,,,,,,,County Council Offices Meru,,,,,,,,,,,22.03.2013,,,10.00 a.m,
13,,Tharaka-Nithi,,,,,,,,,,Meru South County Council,,,,,,,,,,,22.03.2013,,,10.00 a.m,
14,,Embu,,,,,,,,,,County Council Offices At Embu,,,,,,,,,,,22.03.2013,,,10.00 a.m,
15,,Kitui,,,,,,,,,,Town Council of Kitui Offices,,,,,,,,,,,22.03.2013,,,10.00 a.m,
16,,Machakos,,,,,,,,,,County Council of Machakos,,,,,,,,,,,22.03.2013,,,10.00 a.m,
17,,Makueni,,,,,,,,,,County Council of Makueni,,,,,,,,,,,22.03.2013,,,10.00 a.m,
18,,Nyandarua,,,,,,,,,,New Prefabricated Structures,,,,,,,,,,,22.03.2013,,,10.00 a.m,
19,,Nyeri,,,,,,,,,,County Council Offices Nyeri,,,,,,,,,,,22.03.2013,,,10.00 a.m,
20,,Kirinyaga,,,,,,,,,,County Council of Kirinyaga,,,,,,,,,,,22.03.2013,,,10.00 a.m,
21,,Murang'a,,,,,,,,,,Municipal Council Offices Murang'a,,,,,,,,,,,22.03.2013,,,10.00 a.m,
22,,Kiambu,,,,,,,,,,County Council of Kiambu,,,,,,,,,,,22.03.2013,,,10.00 a.m,
23,,Turkana,,,,,,,,,,County Council of Turkana,,,,,,,,,,,22.03.2013,,,10.00 a.m,
24,,West Pokot,,,,,,,,,,County Council of Pokot,,,,,,,,,,,22.03.2013,,,10.00 a.m,
25,,Samburu,,,,,,,,,,County Council of Samburu,,,,,,,,,,,22.03.2013,,,10.00 a.m,
26,,Trans-Nzoia,,,,,,,,,,County Council of Trans-Nzoia,,,,,,,,,,,22.03.2013,,,10.00 a.m,
27,,Uasin Gishu,,,,,,,,,,County Council of Wareng,,,,,,,,,,,22.03.2013,,,10.00 a.m,
28,,Elgeyo/Marakwet,,,,,,,,,,County Council of Keiyo,,,,,,,,,,,22.03.2013,,,10.00 a.m,
29,,Nandi,,,,,,,,,,County Council of Nandi,,,,,,,,,,,22.03.2013,,,10.00 a.m,
30,,Baringo,,,,,,,,,,Kabarnet Town Council,,,,,,,,,,,22.03.2013,,,10.00 a.m,
31,,Laikipia,,,,,,,,,,Municipal Council of Nanyuki Chambers and Offices,,,,,,,,,,,22.03.2013,,,10.00 a.m,
32,,Nakuru,,,,,,,,,,Municipal Council of Nakuru,,,,,,,,,,,22.03.2013,,,10.00 a.m,
33,,Narok,,,,,,,,,,County Council Offices Narok,,,,,,,,,,,22.03.2013,,,10.00 a.m,
34,,Kajiado,,,,,,,,,,County Council of Ol Kejuado,,,,,,,,,,,22.03.2013,,,10.00 a.m,
35,,Kericho,,,,,,,,,,Kipsigis County Council Offices,,,,,,,,,,,22.03.2013,,,10.00 a.m,
36,,Bomet,,,,,,,,,,Chief’s Office Bomet,,,,,,,,,,,22.03.2013,,,10.00 a.m,
37,,Kakamega,,,,,,,,,,Kakamega Town Hall,,,,,,,,,,,22.03.2013,,,10.00 a.m,
38,,Vihiga,,,,,,,,,,County Council of Vihiga,,,,,,,,,,,22.03.2013,,,10.00 a.m,
39,,Bungoma,,,,,,,,,,County Council of Bungoma,,,,,,,,,,,22.03.2013,,,10.00 a.m,
40,,Busia,,,,,,,,,,Muncipla Council Of Busia,,,,,,,,,,,22.03.2013,,,10.00 a.m,
41,,Siaya,,,,,,,,,,County Council of Siaya,,,,,,,,,,,22.03.2013,,,10.00 a.m,
42,,Kisumu,,,,,,,,,,County Council of Kisumu,,,,,,,,,,,22.03.2013,,,10.00 a.m,
43,,Homa Bay,,,,,,,,,,County Council of Homa Bay,,,,,,,,,,,22.03.2013,,,10.00 a.m,
44,,Migori,,,,,,,,,,County Council of Migori,,,,,,,,,,,22.03.2013,,,10.00 a.m,
45,,Kisii,,,,,,,,,,Municipal Council Of Kisii,,,,,,,,,,,22.03.2013,,,10.00 a.m,
46,,Nyamira,,,,,,,,,,Kenya Industrial Estate Building and Offices,,,,,,,,,,,22.03.2013,,,10.00 a.m,
47,,Nairobi City,,,,,,,,,,City Council Chambers and Offices,,,,,,,,,,,22.03.2013,,,10.00 a.m,
