STATE,GOVERNOR,PARTY,TERM ENDS,TERM,WEBSITE,EMAIL,NUMBERS,FACEBOOK,TWITTER,YOUTUBE,NOTES
Abia,Theodore Orji,PDP,2015-05-29,2,http://abiastate-contract.com,award@abiastate-contract.com,"08097824299, 07042662614",http://www.facebook.com/pages/T-A-Orji-Ochendo/72549349119,"@taorjiochendo, @Abiastategov",,"Engages, phone numbers unconfirmed"
Adamawa,Murtala Nyako,PDP,2016-02-08,2,http://www.adamawa.gov.ng/,,,"http://www.facebook.com/murtala.nyako, http://www.facebook.com/pages/Adamawa-State-Government/121959661267287",,,Personal facebook page unconfirmed
Akwa-Ibom,Godswill Akpabio,PDP,2015-05-29,2,"http://www.aksgonline.com/, http://www.godswillakpabio.com/",,,http://www.facebook.com/pages/Chief-Dr-Godswill-Obot-Akpabio/101799591765,@GodswillAkpabi0,http://www.youtube.com/user/AKWAIBOMGOVERNMENT,Facebook not working.
Anambra,Peter Obi,All Progressives Grand Alliance,2015-05-29,2,http://www.anambrastate.gov.ng/office-of-gov.html,,,http://www.facebook.com/pete.obi,,,Website not working.
Bauchi State,Mallam Isa Yuguda,PDP,2015-05-29,2,http://bauchistate.gov.ng/,,DL:07058626004,http://www.facebook.com/isa.yuguda,@isayuguda2011,,Phone numbers unconfirmed. Can send email via website. Twitter- no activity
Bayelsa,Hon. Henry Dickson,PDP,2016-02-14,1,http://bayelsa.gov.ng/portal/,info@bayelsa.gov.ng,,http://www.facebook.com/bayelsastate,@infobayelsa,,Does not engage
Benue,Gabriel Suswam,PDP,2015-05-29,2,http://www.benuestate.gov.ng/,"ghm@benuestate.gov.ng, Executive Governor: gov@benuestate.gov.ng, Deputy Governor: depgov@benuestate.gov.ng, Secretary to the State Government: ssg@benuestate.gov.ng",+234(0)44 532 584,http://www.facebook.com/profile.php?id=1661371319,,,Does not engage. Website not working/ no confirmation of info.
Borno,Hon. Kashim Shettima,All Nigeria People\'s Party,2015-05-29,1,http://www.bornostate.gov.ng/Governor_Kashim_Shettima_Welcome_Address.html,borno_nigeria@yahoo.com,+234(0)76 235022,http://www.facebook.com/BornoStateGovernment,,,No listed email or phone numbers/ unsure if they are still the same
Cross River,Liyel Imoke,PDP,2016-02-28,2,http://www.crossriverstate.gov.ng/,webmanager@crossriverstate.gov.ng,,http://www.facebook.com/LiyelImoke?ref=ts&sk=wall,"@liyelimoke, @CrossRiverState",http://www.youtube.com/user/liyelimokeforcrs,engages
Delta,Emmanuel Uduaghan,PDP,2015-05-29,2,"http://www.emmanueluduaghan.com.ng/, http://www.deltastate.gov.ng/","governor@deltastate.gov.ng, info@deltastate.gov.ng","08127770002, 08127770003, 7057007888","http://www.facebook.com/euduaghan, http://www.facebook.com/deltastateprojects","@euduaghan, @deltastatepro",http://www.youtube.com/euduaghan,"Unconfirmed phone numbers, engages- youtube updated"
