Atlas State,Atlas LGA Code,Atlas LGA Name,MapIt State,MapIt Area ID,MapIt LGA Area Name
Abia,AB:8,Isiukwuato,Abia,91,Isuikwua
Abia,AB:10,ohafia,Abia,93,Ohafia Abia
Abia,AB:17,umunneochi,Abia,98,Umu-Nneochi
Adamawa,AD:2,FUFORE/GURIN,Adamawa,102,Fufore
Adamawa,AD:4,GIREI,Adamawa,104,Girie
Adamawa,AD:10,MADGALI,Adamawa,110,Madagali
Adamawa,AD:12,MAYO-BELWA,Adamawa,112,Mayo-Bel
Akwa Ibom,AK:30,URUE-OFFONG/ORUKO,Akwa Ibom,151,UrueOffo
Anambra,AN:2,AKWA NORTH,Anambra,157,AwkaNort
Anambra,AN:3,AKWA SOUTH,Anambra,158,AwkaSout
Anambra,AN:9,EKWISIGO,Anambra,161,Ekwusigo
Bauchi,BA:10,ITAS-GADAU,Bauchi,183,Itas/Gad
Benue,BN:7,GWER-EAST,Benue,208,Gwer East
Benue,BN:8,GWER-WEST,Benue,209,GwerWest
Benue,BN:9,KATSINA-NLA,Benue,210,Katsina (Benue)
Benue,BN:13,MARKUDI,Benue,214,Makurdi
Borno,BO:2,ASKIRA/UBA,Borno,226,Askira/U
Borno,BO:21,MAIDUGURI,Borno,245,Maidugur
Cross River,CR:5,BEKWARA,Cross River,256,Bekwarra
Cross River,CR:8,CALABAR-MUNICIPAL,Cross River,260,Calabar
Cross River,CR:9,CALABAR-SOUTH,Cross River,259,Calabar South
Delta,DT:2,ANIOCHA SOUTH,Delta,271,AniochaS
Delta,DT:7,IKA NORTH-EAST,Delta,276,IkaNorth
Delta,DT:8,IKA SOUTH,Delta,277,IkaSouth
Edo,ED:1,AKOKO-EDO,Edo,308,Akoko-Ed
Edo,ED:4,ESAN NORTH-EAST,Edo,311,EsanNort
Edo,ED:5,ESAN SOUTH-EAST,Edo,312,EsanSout
Edo,ED:11,IKPOBA OKHA,Edo,318,Ikpoba-Okha
Edo,ED:14,OVIA SOUTH-WEST,Edo,322,OviaSouth-West
Edo,ED:15,OVIA NORTH-EAST,Edo,321,OviaNort
Ekiti,EK:2,AIYEDIRE(GBONYIN),Ekiti,332,Gboyin
Ekiti,EK:8,IDO-OSI,Ekiti,333,Ido/Osi
Enugu,EN:7,Igbo-Etti,Enugu,348,Igbo-Eti
Enugu,EN:14,Oji River,Enugu,355,Oji-River
Gombe,GM:5,Funkaye,Gombe,369,Funakaye
Gombe,GM:11,Yamaltu-Deba,Gombe,375,Yamaltu
Imo,IM:1,Aboh-Mbaise,Imo,376,Aboh-Mba
Imo,IM:4,Ezinihitte,Imo,379,Ezinihit
Imo,IM:7,Ihite/Uboma,Imo,382,Ihitte/U
Imo,IM:9,Isiala Mbano,Imo,384,IsialaMb
Imo,IM:12,Ngor Okpala,Imo,387,Ngor-Okp
