Office Name,NAME OF MP,PROVINCE,OFFICE ADDRESS,CONTACT  PERSON,CONTACT NO.
EFF Constituency Office: Braamfontein,MR JULIUS MALEMA,GAUTENG,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",Thandeka,011 403 2307
EFF Constituency Office: Braamfontein,MR FLOYD SHIVAMBU,GAUTENG,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",Thandeka,011 403 2307
EFF Constituency Office: Braamfontein,MR MPHO RAMAKATSA,GAUTENG,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",,011 403 2307
EFF Constituency Office: Welkom,MR ANDILE MNGXITAMA,Free State,"Ddomitec Bld, Shop no.8, Dekaap Str, Welkom",Mohaneloa,084 808 7762
EFF Constituency Office: Braamfontein,MR MBUYISENI NDLOZI,GAUTENG,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",,011 403 2307
EFF Constituency Office: Braamfontein,MR GODRICH GARDEE,GAUTENG,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",,011 403 2307
EFF Constituency Office: Braamfontein,MR HLENGIWE MAXON,Gauteng,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",,011 403 2307
EFF Constituency Office: Cape Town Strand Street,MS NATASHA ELSBE LOUW,Western Cape,"No 47 Strand Street
Cape Metro",,
EFF Constituency Office: Kokstad,MR PEBANE GEORGE MOTEKA,Eastern Cape,"Eitten House
87 Main Street , Kokstad",,"

"
EFF Constituency Office: Braamfontein,MR MODIKELA MATHLOKO,Gauteng,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",,011 403 2307
EFF Constituency Office: Mthatha,MS PRIMROSE SONTI,Eastern Cape,"Office no 24, 49 Eagle Str, Mthatha",Mkokeli,071 183 6014
EFF Constituency Office: Braamfontein,MS MAGDALENE MOONSAMY,Gauteng,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein",,011 403 2307
EFF Constituency Office: Ulundi,MR SAM MATIASE,KwaZulu-Natal,"91 King Mpande Str, No 1, Ulundi",,083 981 8943
EFF Constituency Office: Cape Town Church Street,MS VERONICA MENTE-NQWENISO,WESTERN CAPE,"DUMBERTON HOUSE 4TH FLOOR CHURCH STREET",NCEDO SILAS,021 839 2218
EFF Constituency Office: Nelspruit Brown Street,MR. PRO KHOZA,Mpumalanga,"608,26 brown St Kakholo building",Onesipho Khoza,076 555 3560
EFF Constituency Office: East London,MS. ASANDA MATSHOBANE,Eastern Cape,"NBS Bld, Terminus Str, East London",,
EFF Constituency Office: Port Elizabeth,MS. PUMZA NTOBONGWANA,Eastern Cape,"Level 3, Medical Forum, 12A Harrower Rd, Port Elizabeth",VENA,073 097 1087
EFF Constituency Office: Polokwane,MR. EMANUEL MTILENI,Limpopo,"5A1, AL Smith building.26 Thabo Mbeki Str. Polokwane",Seemola Chokoe,076 652 8576
EFF Constituency Office: Nelspruit Emke & Russel,DR VAUDA,Mpumalanga,"Metropolitan Builiding. 2nd floor, Emke & Russel , Nelspruit",Onesipho Khoza,076 555 3560
EFF Constituency Office: Kimberley,MR. MBUYISELO APRIL MATEBUS,Northern Cape,"Corner House Office, Stockdale Str. Kimberley",Itumeleng Tau,073 179 9288
EFF Constituency Office: Braamfontein,MS. LEIGH- ANNE MATHYS,Gauteng,"78 De Korte & De Beer Strts, Mineralia Bld, Braamfontein","Thandeka
",011 403 2307
EFF Constituency Office: Phuthaditjhaba,MR.  FANA MOKOENA,Free State,"130 ,131 Setsing 1
Mampoi Street
Phuthaditjhaba",Makhosini Shabangu,079 245 0135
EFF Constituency Office: Vryburg,MRS. TEBOGO MOKWELE,North West,"Dr Ruth Segomotsi
70 Market St, Vryburg",Kabelo Tshite,078 325 7203
EFF Constituency Office: Sasolburg,MR. KGOTSO MARAPELA,Free State,"Allied Bld, Office no.1, Sasolburg",Ruth,082 757 7749
EFF Constituency Office: Port Shepstone,MR.  LUCKY TWALA,KwaZulu-Natal,"Stevsar House, 47 Aiken St, Port Shepstone",Noxolo,072 731 2610
EFF Constituency Office: Caledon,Mr  BERNARD JOSEPH,Western Cape,"21 Donkiw Street
Caledon
",,073 315 0721
EFF Constituency Office: Durban,MAKOTI SIBONGILE KHAWULA,KwaZulu-Natal,"Shop 121, Joe Slovo, Durban",Thuli,072 413 3519
EFF Constituency Office: Pietermaritzburg,SIPHO MBATHA,KwaZulu-Natal,"161 Boshoff Street, Pietermaritzburg, KZN",Lucky,078 047 9694
