legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title,source
Blose HM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Combrinck HL,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Dlamini DD,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Dlungwane M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Downs JM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Gabela LS,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Krog J,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Madlala MZN,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Majola N,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Mdletshe BN,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Msimango NP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Mthembu T,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Nahara YM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Naicker SV,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Ngcobo W,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Ngxongo H,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Alternate Member,committees
Singh A,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Steele M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture & Rural Development,Member,committees
Blose HM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Downs JM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Khawula M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Khuzwayo DN,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Maharaj R,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Mari G,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Mdlalose M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Mdletshe BN,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Moodley S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Mthethwa TP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Naidoo R,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Nkosi SC,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Noel V,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Shabalala NB,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Sikosana D,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Tambo VV,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
Thakur-Rajbansi S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Alternate Member,committees
Zondi WP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts & Culture,Member,committees
de Klerk LJ,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Dlamini DD,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Gabela LS,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Gwala MB,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Hlongwa L,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Kaunda M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Krog J,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Mchunu S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Mkhize L,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Msimango NP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Mtshali LPHM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Ngxongo H,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Nkwanyana NJ,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Noel N,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Ntuli B,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Shabalala LF,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Member,committees
Singh A,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Thakur-Rajbansi S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Comm Safety & Liaison,Alternate Member,committees
Bebee L,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conserv & Environment,Member,committees
Combrinck HL,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conserv & Environment,Member,committees
Dlamini DD,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conserv & Environment,Member,committees
Gabela LS,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conserv & Environment,Alternate Member,committees
Govender M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conserv & Environment,Alternate Member,committees
