Party,Conserv & Environ,Arts & Culture,Sport & Recreation ,Social Developm,Health,Agriculture & Rural Development,Education,PMLPPP,Quality of Life,
ANC,Govender M,Naidoo R,Nkosi SC,Zondi WP,Sikosana D,Ngxongo H,Ludidi ZM,Dube V,Johnson L,
,,,Swartbooi GN,,,,,,,
ANC,Ntuli B,Blose HM,,Maharaj R,Mthembu T,Dlungwane M,Zwane LL,Gcabashe S,Zondi WP,
ANC,Majola N,Noel V,Frazer M,Ngcobo W,Mkhize L,Dlamini DD,Mckay P,Shabalala LF,-,
IFP,Madlala MZN ,Moodley S,Moodley S,Mohlaka BS ,Govender P,Naicker SV,Mncwango LA,Moodley S,de Klerk LJ,
IFP,Naicker SV,Khawula M,Khawula M,Nkwanyana NJ,Naicker SV,Msimango NP,Mthethwa TP,Msimango NP,Msimango NP,
IFP,Moodley S ,Mdletshe BN,Mazibuko J,Shabalala NB,Mazibuko J,Mdletshe BN,Govender P,Mncwango LA,Buthelezi ME,
DA,Stokes T,Mdlalose M,Mchunu S,Mchunu S,Steele M,Krog J,Mdlalose M,Mari G,Stokes T,
MF,,Thakur-Rajbansi S,Thakur-Rajbansi S,,,,,Thakur-Rajbansi S,,
COPE,Gabela LS,,,,,Gabela LS,,,Gabela LS,
ACDP,,,,Downs JM,Downs JM,,Downs JM,,,
