legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Noxolo Abraham-Ntantiso,Province,Eastern Cape,Political Party,ANC,Party Member
Jackson Bici,Province,Eastern Cape,Political Party,UDM,Party Member
Zoleka Capa,Province,Eastern Cape,Political Party,ANC,Party Member
John Cupido,Province,Eastern Cape,Political Party,DA,Party Member
Mxolisi Dimaza,Province,Eastern Cape,Political Party,ANC,Party Member
Thembeka Dunywa,Province,Eastern Cape,Political Party,COPE,Party Member
Koliswa Fihlani,Province,Eastern Cape,Political Party,ANC,Party Member
Madlenkosi Galo,Province,Eastern Cape,Political Party,AIC,Party Member
Nomawethu Gqiba,Province,Eastern Cape,Political Party,ANC,Party Member
Sicelo Gqobana,Province,Eastern Cape,Political Party,ANC,Party Member
Dacre Haddon,Province,Eastern Cape,Political Party,DA,Party Member
Nomfundo Jamjam,Province,Eastern Cape,Political Party,COPE,Party Member
Mcebisi Jonas,Province,Eastern Cape,Political Party,ANC,Party Member
Noxolo Kiviet,Province,Eastern Cape,Political Party,ANC,Party Member
Deborah Komose,Province,Eastern Cape,Political Party,ANC,Party Member
John Phillip Korkie,Province,Eastern Cape,Political Party,COPE,Party Member
Vuyani Morgan Limba,Province,Eastern Cape,Political Party,ANC,Party Member
Nkosinathi Kuluta,Province,Eastern Cape,Political Party,COPE,Party Member
Sam Kwelita,Province,Eastern Cape,Political Party,COPE,Party Member
Sam Kwelita,Province,Eastern Cape,Political Party,COPE,Party Leader in Provincial Legislature
Pemmy Majodina,Province,Eastern Cape,Political Party,ANC,Party Member
Busisiwe Makaula,Province,Eastern Cape,Political Party,ANC,Party Member
Mandla Makupula,Province,Eastern Cape,Political Party,ANC,Party Member
Thandiswa Marawu,Province,Eastern Cape,Political Party,ANC,Party Member
Christian Martin,Province,Eastern Cape,Political Party,ANC,Party Member
Phumulo Masualle,Province,Eastern Cape,Political Party,ANC,Party Member
Humphrey Maxegwana,Province,Eastern Cape,Political Party,ANC,Party Member
Masiza Max Mhlati,Province,Eastern Cape,Political Party,UDM,Party Member
Nomvuzo Mlombile-Cingo,Province,Eastern Cape,Political Party,ANC,Party Member
Phumzile Justice Mnguni,Province,Eastern Cape,Political Party,ANC,Party Member
Phumeza Mpushe,Province,Eastern Cape,Political Party,ANC,Party Member
Mzoleli Mrara,Province,Eastern Cape,Political Party,ANC,Party Member
Nomxolisi Mtitshana,Province,Eastern Cape,Political Party,ANC,Party Member
Viola Mtongana,Province,Eastern Cape,Political Party,ANC,Party Member
Alfred Mtsi,Province,Eastern Cape,Political Party,ANC,Party Member
Nonkosi Mvana,Province,Eastern Cape,Political Party,ANC,Party Member
Veliswa Mvenya,Province,Eastern Cape,Political Party,DA,Party Member
Ntombesine Ndabeni,Province,Eastern Cape,Political Party,COPE,Party Member
Dennis Sehloho Neer,Province,Eastern Cape,Political Party,ANC,Party Member
Kadini Joel Ngalo,Province,Eastern Cape,Political Party,ANC,Party Member
Phila Nkayi,Province,Eastern Cape,Political Party,ANC,Party Member
Xolile Nqatha,Province,Eastern Cape,Political Party,ANC,Party Member
Mbulelo Ntenjwa,Province,Eastern Cape,Political Party,COPE,Party Member
Mninawa Nyusile,Province,Eastern Cape,Political Party,ANC,Party Member
Xola Pakati,Province,Eastern Cape,Political Party,ANC,Party Member
Nomalungelo Petela-Ngcanga,Province,Eastern Cape,Political Party,COPE,Party Member
Michael Peter,Province,Eastern Cape,Political Party,ANC,Party Member
Imamile Aubin Pikinini,Province,Eastern Cape,Political Party,ANC,Party Member
Alice Nomvula Ponco,Province,Eastern Cape,Political Party,ANC,Party Member
Mlibo Qoboshiyane,Province,Eastern Cape,Political Party,ANC,Party Member
Phindiwe Samka-Mququ,Province,Eastern Cape,Political Party,ANC,Party Member
Helen Sauls-August,Province,Eastern Cape,Political Party,ANC,Party Member
Robert (Bobby) Stevenson,Province,Eastern Cape,Political Party,DA,Party Member
Zukiswa Thabaneng,Province,Eastern Cape,Political Party,UDM,Party Member
Xoliswa Tom,Province,Eastern Cape,Political Party,ANC,Party Member
Athol Trollip,Province,Eastern Cape,Political Party,DA,Party Member
Athol Trollip,Province,Eastern Cape,Political Party,DA,Party Leader in Provincial Legislature
Bulelwa Tunyiswa,Province,Eastern Cape,Political Party,ANC,Party Member
Ncwadi Christopher Tunyiswa,Province,Eastern Cape,Political Party,ANC,Party Member
Peter Edmund van Vuuren,Province,Eastern Cape,Political Party,DA,Party Member
Tabiso Wana,Province,Eastern Cape,Political Party,ANC,Party Member
Angela Woodhall,Province,Eastern Cape,Political Party,COPE,Party Member
Fikile Xasa,Province,Eastern Cape,Political Party,ANC,Party Member
Ntombizodwa Tamara Xhanti,Province,Eastern Cape,Political Party,ANC,Party Member
Noxolo Abraham-Ntantiso,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Jackson Bici,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Zoleka Capa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
John Cupido,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mxolisi Dimaza,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Thembeka Dunywa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Koliswa Fihlani,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Madlenkosi Galo,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Nomawethu Gqiba,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Sicelo Gqobana,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Dacre Haddon,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Nomfundo Jamjam,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mcebisi Jonas,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Noxolo Kiviet,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Deborah Komose,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
John Phillip Korkie,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Vuyani Morgan Limba,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Nkosinathi Kuluta,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Sam Kwelita,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Pemmy Majodina,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Busisiwe Makaula,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mandla Makupula,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Thandiswa Marawu,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Christian Martin,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Phumulo Masualle,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Humphrey Maxegwana,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Masiza Max Mhlati,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Nomvuzo Mlombile-Cingo,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Phumzile Justice Mnguni,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Phumeza Mpushe,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mzoleli Mrara,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Nomxolisi Mtitshana,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Viola Mtongana,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Alfred Mtsi,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Nonkosi Mvana,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Veliswa Mvenya,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Ntombesine Ndabeni,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Dennis Sehloho Neer,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Kadini Joel Ngalo,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Phila Nkayi,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Xolile Nqatha,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mbulelo Ntenjwa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mninawa Nyusile,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Xola Pakati,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Nomalungelo Petela-Ngcanga,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Michael Peter,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Imamile Aubin Pikinini,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Alice Nomvula Ponco,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Mlibo Qoboshiyane,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Phindiwe Samka-Mququ,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Helen Sauls-August,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Robert (Bobby) Stevenson,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Zukiswa Thabaneng,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Xoliswa Tom,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Athol Trollip,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Bulelwa Tunyiswa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Ncwadi Christopher Tunyiswa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Peter Edmund van Vuuren,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Tabiso Wana,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Angela Woodhall,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Fikile Xasa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Ntombizodwa Tamara Xhanti,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
