legal_name,place_kind,place_name,organisation_type,Organisation,Position Title
A Oosthuizen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Chair of the  Agriculture Committee
A Oosthuizen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
B Alexander,,,Political Party,DA,Party Member
B Alexander,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
B Khompela,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Safety
B Khompela,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
C Mokitlane,,,Political Party,COPE,Party Leader of Provincial Legislature
C Mokitlane,,,Political Party,COPE,Party Member
C Mokitlane,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
CJ van Rooyen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Deputy Chief Whip
CJ van Rooyen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
D Kgothule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,"Member of the Executive Committee: Sports, Arts"
D Kgothule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Dr Malakoane,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Health
Dr Malakoane,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
E Rockman,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Treasury
E Rockman,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
ES Magashule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
ES Magashule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Premier
G Mothupi,,,Political Party,COPE,Party Member
G Mothupi,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Lala,,,Political Party,COPE,Party Member
Lala,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M Hleko,,,Political Party,COPE,Party Member
M Hleko,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M Scheepers,Province,Free State,Provincial Legislature,Free State Provincial Legislature,"Chair of the  Police, Road & Transport Committee"
M Scheepers,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M Thoabala,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Chair of the Public Works Committee
M Thoabala,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M.B Sesele,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
M.B Sesele,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Speaker
MB Sesele,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Ms O Mlamleli,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: COGTAHS
Ms O Mlamleli,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Tourism
Ms O Mlamleli,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Ms O Mlamleli,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Ms Qabathe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Agriculture
Ms Qabathe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
P Frewen,,,Political Party,DA,Party Member
P Frewen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
P Parkies,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Chief Whip
P Parkies,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
P.N Maloka,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Chair of Committees
P.N Maloka,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
PHI Makgoe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Education
PHI Makgoe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
R Jankielsohn,,,Political Party,DA,Party Leader of Provincial Legislature
R Jankielsohn,,,Political Party,DA,Party Member
R Jankielsohn,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
S Mabe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Works
S Mabe,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
S Magwandana,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
S Magwandana,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Whip
S Makae,Province,Free State,Provincial Legislature,Free State Provincial Legislature,"Chair of Education, Sports, Arts and Culture Committee"
S Makae,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
S Mbalo,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Deputy Speaker
S Mbalo,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
S Ntombela,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Social Development
S Ntombela,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
TRJE Ramokhoase,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Chair of the Health and Social Development Committee
TRJE Ramokhoase,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
