legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Boers Joggie,,,Political Party,ANC,Party Member
Boers Joggie,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Bonginkosi Dlamini,,,Political Party,IFP,Party Member
Bonginkosi Dlamini,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Chueu Patricia,,,Political Party,ANC,Party Member
Chueu Patricia,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Creecy Barbara,,,Political Party,ANC,Party Member
Creecy Barbara,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Fred Nel ,,,Political Party,DA,Party Member
Fred Nel ,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Frederik Mulder,,,Political Party,FF+,Party Member
Frederik Mulder,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Gavin Lewis,,,Political Party,DA,Party Member
Gavin Lewis,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Glenda Steyn,,,Political Party,DA,Party Member
Glenda Steyn,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Hendrika Kruger,,,Political Party,DA,Party Member
Hendrika Kruger,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Hlongwa Brian,,,Political Party,ANC,Party Member
Hlongwa Brian,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Humphrey Mmemezi,,,Political Party,ANC,Party Member
Humphrey Mmemezi,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Jack Bloom,,,Political Party,DA,Party Member
Jack Bloom,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Janet Semple ,,,Political Party,DA,Party Member
Janet Semple ,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
John Moodey,,,Political Party,DA,Party Member
John Moodey,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Kalipa Ndzipho,,,Political Party,COPE,Party Member
Kalipa Ndzipho,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Kate Lorimer,,,Political Party,DA,Party Member
Kate Lorimer,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Khawe Jacob,,,Political Party,ANC,Party Member
Khawe Jacob,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Khumalo Sakhiwe,,,Political Party,ANC,Party Member
Khumalo Sakhiwe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Koorts Hermene,,,Political Party,COPE,Party Member
Koorts Hermene,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Lasindwa Lindiwe,,,Political Party,ANC,Party Member
Lasindwa Lindiwe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Lebo More,,,Political Party,DA,Party Member
Lebo More,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Les Labuschagne,,,Political Party,DA,Party Member
Les Labuschagne,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Letwaba Refiloe,,,Political Party,ANC,Party Member
Letwaba Refiloe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Madlala Michael,,,Political Party,ANC,Party Member
Madlala Michael,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Magerman Errol,,,Political Party,ANC,Party Member
Magerman Errol,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mahlangu Qedani,,,Political Party,ANC,Party Member
Mahlangu Qedani,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Maile Lebogang,,,Political Party,ANC,Party Member
Maile Lebogang,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Makama Sipho,,,Political Party,ANC,Party Member
Makama Sipho,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Maseko Lindiwe,,,Political Party,ANC,Party Member
Maseko Lindiwe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Matlou Moeng,,,Political Party,ANC,Party Member
