legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Bebee L.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Bebee L.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
Bebee L.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Bebee L.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Alternate Member
Bebee L.C.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Bebee L.C.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Blose H.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Blose H.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Alternate Member
Blose H.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Blose H.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Blose H.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Blose H.M.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Blose H.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Deputy Chair of Chairs
Blose H.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Buthelezi M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Buthelezi M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Alternate Member
Buthelezi M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Alternate Member
Buthelezi M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Buthelezi M.E.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Buthelezi M.E.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Buthelezi M.E.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Cele T.P.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Cele T.P.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Combrinck H.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Combrinck H.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Combrinck H.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Alternate Member
Combrinck H.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Alternate Member
Combrinck H.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Combrinck H.L.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Combrinck H.L.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Chief Whip
Combrinck H.L.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
