legal_name,Phone,Email 1,Email 2,Organisation,Role,,Orgnaisation Kind (applies to all committees),Role,,,,,,,,Role,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,,,Organisation,Role 1,Role 2,,,,,,,,,,,
Archie Figlan,021 487 1848,afiglan@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Local Government, Standing Committee on Local Government Oversight, Standing Committee on Agriculture and environmental Planning,,,,,Member, Budget Committee, Standing Committee on Premier,Standing Committee on Finance and Economic Development, Gender Committee, Disabled and Youth Committee, Standing Committee on Human Settlement, Petitions Committee, Chairpersons’ Forum,,,,DA,Member,,,,,,,,,,,,
Helmar (Bokkie) Geyer,021 487 1785,hgeyer@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Budget Committee, Standing Committee on Local Government Oversight, Aesthetics Committee,,,,,Member, Public Accounts Committee, Standing Committee on Finance and Economic Development Alt,Rules Committee, Standing Committee on Local Government, Standing Committee on Human Settlement, Standing Committee on Agriculture, Petitions Committee, Conduct Committee, Chairpersons’ Forum,,,DA,Member,Deputy Chief Whip of the Majority Party,,,,,,,,,,,
Richard Majola,021 487 1601/2,rmajola@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Aesthetics Committee,,,,,,,Member,Rules Committee,,,,,,,,,,,DA,Member,Speaker,,,,,,,,,,,
Piet Pretorius,021 487 1611,ppretorius@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Disabled and Youth Committee, Cultural Affairs and Sport, Standing Committee on Education, Standing Committee on Community Development,,,,Member,Rules Committee, Standing Committee on Premier, Gender Committee, Standing Committee on Community Safety, Chairpersons’ Forum, Aesthetics Committee,,,,,,DA,Member,Deputy Speaker,,,,,,,,,,,
Johannes Visser,021 487 1764,jojvisser@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Finance and Economic Development,,,,,,,Member,Rules Committee, Public Accounts Committee Alt, Provincial Treasury, Budget Committee, Standing Committee on Local Government, Standing Committee on Human Settlement, Standing Committee on Local Government Oversight, Standing Committee on Agriculture and environmental Planning, Chairpersons’ Forum,,,DA,Member,,,,,,,,,,,,
Eugene von Brandis,021 487 1846,evbrands@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Rules Committee, Standing Committee on Local Government, Standing Committee on Human Settlement,,,,,Member, Standing Committee on Finance and Economic Development, Public Accounts Committee Alt, Budget Committee, Standing Committee on Local Government Oversight, Standing Committee on Environmental Affairs and Development Planning, Conduct Committee, Chairpersons’ Forum,,,,,DA,Member,,,,,,,,,,,,
Michael Walters,021 487 1765,miwalters@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Public Accounts Committee, Standing Committee on Human Settlement,,,,,,Member, Standing Committee on Finance and Economic Development, and Public Works, Budget Committee, Standing Committee on Local Government, Standing Committee on Local Government Oversight, Standing Committee on Agriculture and environmental Planning, Chairpersons’ Forum,,,,,DA,Member,,,,,,,,,,,,
Mark Wiley,021 487 1769,mwiley@wcpp.gov.za,markwiley@mweb.co.za,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Disabled and Youth Committee, Standing Committee on Community Safety, Petitions Committee,Rules Committee,,,,Member, Public Accounts Committee, Budget Committee, Standing Committee on Premier, Gender Committee, Standing Committee on Community Safety, Cultural Affairs and Sport, Standing Committee on Education, Chairpersons’ Forum,,,,DA,Member,,,,,,,,,,, Aesthetics Committee Alt,
Mbulelo Ncedana,021 487 1858,mncedana@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Finance and Economic Development, Conduct Committee,,,,,,Member, Budget Committee,Rules Committee, Standing Committee on Local Government, Standing Committee on Human Settlement, Standing Committee on Local Government Oversight, Standing Committee on Cultural Affairs and Sport,,,,,,COPE,Member,,,,,,,,,,,,
Grant Haskin,021 487 1762,grant.haskin@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Disabled and Youth Committee, Standing Committee on Agriculture and environmental Planning, Aesthetics Committee,,,,,Member, Public Accounts Committee, Budget Committee,Rules Committee, Standing Committee on Premier, Gender Committee, Standing Committee on Community Safety, Chairpersons’ Forum,,,,,ACDP,Member,,,,,,,,,,,,
Rodney Lentit,021 487 1831,rlentit@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Local Government, Standing Committee on Human Settlement, Standing Committee on Local Government Oversight, Standing Committee on Community Safety, Standing Committee on Education, Standing Committee on Social Development, Public Accounts Committee,Member, Budget Committee,Rules Committee, Standing Committee on Health, Petitions Committee, Aesthetics Committee,,,,,,,ID,Member,,,,,,,,,,,,
Khaya Magaxa,021 487 1739,kmagaxa@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,, Cultural Affairs and Sport,,,,,,Member, Standing Committee on Community Safety,Standing Committee on Human Settlement,,,,,,,,,,ANC,Member,,,,,,,,,,,,
Max Ozinsky,021 487 1737,ozinsky@gmail.com,maxo@anc.org.za,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Agriculture and environmental Planning,,,,,,,Member,Public Accounts Committee,,,,,,,,,,,ANC,Member,,,,,,,,,,,,
Mcebisi Skwatsha,021 487 1788,mskwatsha@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Standing Committee on Local Government, Conduct Committee, Standing Committee on Human Settlement,,,,,Member, Standing Committee on Health,,,,,,,,,,,ANC,Member,,,,,,,,,,,,
Chris Stali,021 487 1740,zstali@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Rules Committee, Disabled and Youth Committee,,,,,,Member, Transport and Public Works, Standing Committee on Premier, Gender Committee,,,,,,,,,ANC,Member,,,,,,,,,,,,
Pierre Uys,021 487 1807,puys@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,,,,,,,,Member, Standing Committee on Local Government, Standing Committee on Local Government Oversight Alt,Rules Committee, Aesthetics Committee,,,,,,,,ANC,Member,,,,,,,,,,,,
Jennifer Hartnick,021 487 1845,jehartnick@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Rules Committee, Petitions Committee, Conduct Committee,,,,,Member, Budget Committee, Standing Committee on Premier, Gender Committee, Disabled and Youth Committee, Standing Committee on Community Safety, Cultural Affairs and Sport, Standing Committee on Education, Standing Committee on Community Development, Chairpersons’ Forum,,,DA,Member,,,,,,,,,,,,
Cathleen Labuschagne,021 487 1844,clabusha@wcpp.gov.za,clab16@gmail.com,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Rules Committee, Disabled and Youth Committee, Cultural Affairs and Sport,,,,,Member, Public Accounts Committee, Budget Committee, Standing Committee on Premier, Gender Committee, Standing Committee on Community Safety, Standing Committee on Education, Standing Committee on Community Development, Chairpersons’ Forum, Petitions Committee,,,DA,Member,,,,,,,,,,,,
Anroux Marais,021 487 1849,ajmarais@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Petitions Committee, Conduct Committee, Standing Committee on Education,,,,,Member, Budget Committee, Standing Committee on Premier,Rules Committee, Gender Committee, Disabled and Youth Committee, Standing Committee on Community Safety, Cultural Affairs and Sport, Standing Committee on Community Development, Chairpersons’ Forum,,,DA,Member,,,,,,,,,,,,
Alta Rossouw,021 487 1783,alrossou@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Education, Standing Committee on Community Development, Public Accounts Committee, Disabled and Youth Committee, Standing Committee on Agriculture and environmental Planning, Cultural Affairs and Sport,,Member, Standing Committee on Premier,Rules Committee, Gender Committee, Standing Committee on Community Safety, Conduct Committee, Aesthetics Committee,,,,,,DA,Member,,,,,,,,,,,,
Tozama Bevu,021 487 1778,tnbevu@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Budget Committee,,,,,,,Member, Standing Committee on Premier,Standing Committee on Finance and Economic Development, Gender Committee, Disabled and Youth Committee, Conduct Committee,,,,,,,COPE,Member,,,,,,,,,,,,
Alta van Zyl,021 487 1773,ajvanzyl@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Rules Committee, Standing Committee on Health, Petitions Committee,,,,,Member,Standing Committee on Agriculture and environmental Planning, Standing Committee on Education, Standing Committee on Social Development,,,,,,,,,COPE,Member,,,,,,,,,,,,
Carol Beerwinkel,021 487 1777,cbeerwin@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Rules Committee, Aesthetics Committee,,,,,,Member, Provincial Treasury, Economic Development and Tourism, Budget Committee, Standing Committee on Local Government Oversight,,,,,,,,ANC,Member,,,,,,,,,,,,
