Province,Full Name,Political Party,,
Mashonaland central,Alice Chimbudzi,ZANU PF,,
Mashonaland central,Damian D. E. Mumvuri,ZANU PF,,
Mashonaland central,Jenia Manyeruke,ZANU PF,,
Mashonaland central,Chenhamo C. C. Chimutengwede,ZANU PF,,
Mashonaland central,Monicah Mavhunga,ZANU PF,,
Mashonaland central,Martha Muronzi,MDC-T,,
Mashonaland East,Olivia N. Muchena,ZANU PF,,
Mashonaland East,Sydney T. Sekeramayi,ZANU PF,,
Mashonaland East,Rosemary Goto,ZANU PF,,
Mashonaland East,Pagwesse D. Parirenyatwa,ZANU PF,,
Mashonaland East,Address Matiirira,ZANU PF,,
Mashonaland East,Jane Chifamba,MDC-T,,
Mashonaland West,Edina Madzongwe,ZANU PF,,
Mashonaland West,Tapera Machingaifa,ZANU PF,,
Mashonaland West,Virginia Muchenje,ZANU PF,,
Mashonaland West,Mike M. Byton,ZANU PF,,
Mashonaland West,Prisca Mupfumira,ZANU PF,,
Mashonaland West,Violet Moeketsi,MDC-T,,
Mashonaland South,Tambudzai B. Mohadi,ZANU PF,,
Mashonaland South,Simon K. Moyo,ZANU PF,,
Mashonaland South,Alma Mkhwebu,ZANU PF,,
Mashonaland South,Sithembile Mlotshwa,MDC-T,,
Mashonaland South,Watchy Sibanda,MDC-T,,
Mashonaland South,Joyce Ndhlovu,MDC,,
Mashonaland North,Alphina Juba,MDC-T,,
Mashonaland North,Herbert M. Sinampande,MDC-T,,
Mashonaland North,Rosemary Nyathi,MDC-T,,
Mashonaland North,Thokozile A. Mathuthu,ZANU PF,,
Mashonaland North,Cain G. Mathema,ZANU PF,,
Mashonaland North,Medelina Bhebhe,ZANU PF,,
Masvingo,Muhlava Otilia Maluleke,ZANU PF,,
Masvingo,Dzikamai Calisto Mavhaire,ZANU PF,,
Masvingo,Shuvai Ben Mahofa,ZANU PF,,
Masvingo,Josaya D. Hungwe,ZANU PF,,
Masvingo,Farirai Ethel Mabhungu,MDC-T,,
Masvingo,Misheck Marava,MDC-T,,
Midlands,Tsitsi V. Muzenda,ZANU PF,,
Midlands,Simbanenduku S. Mumbengengwi,ZANU PF,,
Midlands,Flora Buka,ZANU PF,,
Midlands,Jaison Max Korerai Machaya,ZANU PF,,
Midlands,Lilian Timveos,MDC-T,,
Midlands,Morgen Komichi,MDC-T,,
Manicaland,Monica Mutsvangwa,ZANU PF,,
Manicaland,Kumbirai Kangai,ZANU PF,,
Manicaland,Judith Mawire,ZANU PF,,
Manicaland,Michael R. Nyambuya,ZANU PF,,
Manicaland,Keresina Chabuka,MDC-T,,
Manicaland,Patrick Chitaka,MDC-T,,
Bulawayo,Agnes Sibanda,MDC-T,,
Bulawayo,Matson M. Hlalo,MDC-T,,
Bulawayo,Siphiwe Ncube,MDC-T,,
Bulawayo,Angelina Masuku,ZANU PF,,
Bulawayo,Michael Norman Carter,MDC-T,,
Bulawayo,Dorothy Tholakele Khumalo,MDC,,
Harare,Cleverai Chizema,ZANU PF,,
Harare,Charles Tewengwa,ZANU PF,,
Harare,Grace Tsitsi Jadagu,ZANU PF,,
Harare,Sekai Masikana Holland,MDC-T,,
Harare,James Makore,MDC-T,,
Harare,Rorana Muchihwa,MDC-T,,
Matebeleland South,Tambudzai B. Mohadi,ZANU PF,,
Matebeleland South,Simon K. Moyo,ZANU PF,,
Matebeleland South,Alma Mkhwebu,ZANU PF,,
Matebeleland South,Mlotshwa Sithembile,MDC-T,,
Matebeleland South,Watchy Sibanda,MDC-T,,
Matebeleland South,Joyce Ndhlovu,MDC,,
Matebeleland North,Sibusisiwe Bhudha,MDC-T,,
Matebeleland North,Ruth Mafoko Labode,MDC-T,,
Matebeleland North,Lwazi Sibanda,MDC-T,,
Matebeleland North,Sikhanyisiwe Mpofu,ZANU PF,,
Matebeleland North,Mail Nkomo,ZANU PF,,
Matebeleland North,Molly Mkandla,ZANU PF,,
